From ,TP ,12 ,3 ,4 ,7 ,10 ,11 ,13 ,17 ,19 ,20 ,21 ,5 ,9 ,14 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Adam KWARASEY 12 ,"100'01"" ","",2 ,2 ,1 ,"",3 ,"","",10 ,2 ,2 ,"","","",8 12 ,13 14 ,1 1 ,22 ,27 ,81%
Asamoah GYAN 3 ,"100'01"" ","","",1 ,2 ,1 ,3 ,1 ,1 ,"","","",1 ,1 ,1 ,0 1 ,6 13 ,6 11 ,12 ,25 ,48%
Daniel OPARE 4 ,"100'01"" ",1 ,11 ,"",19 ,"",4 ,4 ,1 ,"",1 ,6 ,3 ,1 ,7 ,3 12 ,42 58 ,13 19 ,58 ,89 ,65%
Christian ATSU 7 ,"82'07"" ","",3 ,10 ,"",3 ,5 ,6 ,3 ,1 ,"",1 ,"",3 ,"",3 6 ,23 28 ,9 11 ,35 ,45 ,78%
Andre AYEW 10 ,"100'01"" ","",2 ,3 ,"","",5 ,2 ,"",3 ,8 ,1 ,"","","",0 1 ,15 18 ,9 11 ,24 ,30 ,80%
Sulley MUNTARI 11 ,"100'01"" ",1 ,5 ,3 ,4 ,6 ,"","",7 ,6 ,13 ,7 ,1 ,"","",10 16 ,29 42 ,14 16 ,53 ,74 ,72%
Jordan AYEW 13 ,"63'05"" ","",1 ,4 ,5 ,1 ,1 ,"",1 ,"",2 ,"","","","",1 1 ,4 7 ,10 12 ,15 ,20 ,75%
Mohammed RABIU 17 ,"75'41"" ","",2 ,7 ,3 ,3 ,"",5 ,"",3 ,3 ,4 ,"","","",4 6 ,22 24 ,4 8 ,30 ,38 ,79%
Jonathan MENSAH 19 ,"100'01"" ",3 ,2 ,3 ,"",4 ,7 ,1 ,2 ,"",19 ,7 ,3 ,1 ,"",9 12 ,38 44 ,5 7 ,52 ,63 ,83%
Kwadwo ASAMOAH 20 ,"100'01"" ",2 ,2 ,2 ,4 ,10 ,20 ,1 ,6 ,10 ,"",3 ,2 ,5 ,"",8 13 ,44 48 ,15 18 ,67 ,79 ,85%
John BOYE 21 ,"100'01"" ",1 ,"",10 ,2 ,"",4 ,"",7 ,10 ,2 ,"",4 ,"","",6 9 ,26 31 ,8 8 ,40 ,48 ,83%
Michael ESSIEN 5 ,"24'20"" ","",2 ,2 ,"","",3 ,"","","",2 ,2 ,"",3 ,2 ,2 2 ,11 12 ,3 5 ,16 ,19 ,84%
Kevin Prince BOATENG 9 ,"36'56"" ","",1 ,1 ,1 ,2 ,1 ,"","","",5 ,"","","",2 ,2 4 ,8 10 ,3 5 ,13 ,19 ,68%
Albert ADOMAH 14 ,"17'54"" ","","",5 ,"","","","","",1 ,"",1 ,"",1 ,"",0 0 ,1 3 ,7 9 ,8 ,12 ,67%
Total passes received ,"",8 ,33 ,53 ,41 ,30 ,56 ,20 ,28 ,44 ,57 ,34 ,14 ,15 ,12 ,56 95 ,282 352 ,107 141 ,445 ,588 ,76%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,4 ,5 ,7 ,8 ,11 ,13 ,15 ,17 ,20 ,23 ,6 ,9 ,19 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Tim HOWARD 1 ,"100'01"" ","",3 ,4 ,2 ,2 ,1 ,5 ,1 ,"",7 ,5 ,4 ,1 ,"",10 25 ,25 26 ,0 0 ,35 ,51 ,69%
Michael BRADLEY 4 ,"100'01"" ","","",3 ,2 ,3 ,4 ,3 ,3 ,1 ,8 ,8 ,3 ,1 ,3 ,3 8 ,29 36 ,10 12 ,42 ,56 ,75%
Matt BESLER 5 ,"50'01"" ",2 ,5 ,"",1 ,"","",1 ,1 ,"",4 ,"","","","",2 3 ,9 14 ,3 4 ,14 ,21 ,67%
DaMarcus BEASLEY 7 ,"100'01"" ","",4 ,1 ,"",4 ,"",13 ,5 ,1 ,"","",1 ,2 ,"",0 3 ,20 31 ,11 16 ,31 ,50 ,62%
Clint DEMPSEY 8 ,"100'01"" ","",5 ,"",3 ,"",4 ,1 ,"",1 ,"",2 ,"",3 ,"",0 0 ,12 20 ,7 10 ,19 ,30 ,63%
Alejandro BEDOYA 11 ,"81'39"" ","",1 ,"",1 ,1 ,"","",3 ,1 ,"",2 ,1 ,1 ,"",1 4 ,7 11 ,3 5 ,11 ,20 ,55%
Jermaine JONES 13 ,"100'01"" ","",2 ,1 ,3 ,6 ,"","",2 ,"","",1 ,"",4 ,"",0 3 ,11 19 ,8 17 ,19 ,39 ,49%
Kyle BECKERMAN 15 ,"100'01"" ",2 ,4 ,"",5 ,5 ,"",1 ,"","",3 ,1 ,2 ,1 ,"",3 6 ,13 15 ,8 10 ,24 ,31 ,77%
Jozy ALTIDORE 17 ,"22'30"" ","",2 ,"","","","","","","","",1 ,"","","",0 1 ,3 5 ,0 1 ,3 ,7 ,43%
Geoff CAMERON 20 ,"100'01"" ",3 ,6 ,3 ,"","",3 ,1 ,5 ,1 ,"",4 ,"",1 ,"",2 10 ,21 31 ,4 4 ,27 ,45 ,60%
Fabian JOHNSON 23 ,"100'01"" ",2 ,5 ,"","",2 ,1 ,3 ,1 ,3 ,5 ,"","",2 ,2 ,1 4 ,18 22 ,7 11 ,26 ,37 ,70%
John BROOKS 6 ,"50'00"" ",2 ,3 ,"","",3 ,1 ,2 ,"","","","","","","",3 6 ,8 11 ,0 2 ,11 ,19 ,58%
Aron JOHANNSSON 9 ,"77'31"" ","",2 ,"",3 ,2 ,2 ,1 ,"","","",1 ,"","",1 ,2 2 ,4 7 ,6 6 ,12 ,15 ,80%
Graham ZUSI 19 ,"18'22"" ","",1 ,"","","","",1 ,1 ,"","",3 ,1 ,"","",1 1 ,4 5 ,2 2 ,7 ,8 ,88%
Total passes received ,"",11 ,43 ,12 ,20 ,28 ,16 ,32 ,22 ,8 ,27 ,28 ,12 ,16 ,6 ,28 76 ,184 253 ,69 100 ,281 ,429 ,66%
