From ,TP ,1 ,2 ,4 ,5 ,6 ,7 ,9 ,10 ,15 ,19 ,22 ,8 ,14 ,17 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Thibaut COURTOIS 1 ,"94'40"" ","",1 ,5 ,"","","","",1 ,5 ,1 ,"",1 ,"","",5 7 ,6 6 ,3 3 ,"",14 ,16 ,88%
Toby ALDERWEIRELD 2 ,"94'40"" ","","",5 ,1 ,8 ,6 ,1 ,4 ,16 ,4 ,"",6 ,1 ,"",8 13 ,39 46 ,5 9 ,"",52 ,68 ,76%
Vincent KOMPANY 4 ,"94'40"" ",1 ,2 ,"",11 ,12 ,4 ,1 ,8 ,21 ,7 ,1 ,1 ,"",2 ,11 12 ,50 52 ,10 10 ,"",71 ,74 ,96%
Jan VERTONGHEN 5 ,"94'40"" ",1 ,1 ,19 ,"",6 ,3 ,3 ,9 ,2 ,7 ,3 ,1 ,"",1 ,5 8 ,38 47 ,13 15 ,"",56 ,70 ,80%
Axel WITSEL 6 ,"94'40"" ","",7 ,10 ,6 ,"",15 ,2 ,8 ,11 ,10 ,8 ,1 ,"",1 ,5 5 ,60 69 ,14 16 ,"",79 ,90 ,88%
Kevin DE BRUYNE 7 ,"94'40"" ","",7 ,2 ,7 ,6 ,"",1 ,4 ,7 ,7 ,2 ,1 ,"",2 ,5 8 ,30 41 ,11 16 ,"",46 ,65 ,71%
Romelu LUKAKU 9 ,"58'26"" ","","",1 ,1 ,2 ,1 ,"","",1 ,3 ,1 ,"","","",0 0 ,8 9 ,2 6 ,"",10 ,15 ,67%
Eden HAZARD 10 ,"94'40"" ","",5 ,3 ,7 ,3 ,2 ,2 ,"",2 ,2 ,7 ,"",5 ,"",3 5 ,23 24 ,12 17 ,"",38 ,46 ,83%
Daniel VAN BUYTEN 15 ,"94'40"" ",4 ,16 ,15 ,5 ,16 ,8 ,2 ,1 ,"",10 ,5 ,1 ,3 ,"",13 14 ,62 66 ,11 13 ,"",86 ,93 ,92%
Moussa DEMBELE 19 ,"65'43"" ","",5 ,2 ,7 ,11 ,6 ,1 ,5 ,3 ,"",7 ,"",1 ,"",3 4 ,34 36 ,11 12 ,"",48 ,52 ,92%
Nacer CHADLI 22 ,"46'04"" ","",1 ,1 ,7 ,6 ,3 ,2 ,4 ,"",3 ,"","","","",0 0 ,22 27 ,5 7 ,"",27 ,34 ,79%
Marouane FELLAINI 8 ,"28'57"" ","",3 ,2 ,"",1 ,"","","","","","","","","",0 0 ,5 11 ,1 5 ,"",6 ,16 ,38%
Dries MERTENS 14 ,"48'35"" ","",2 ,"",1 ,2 ,2 ,"",2 ,1 ,"","","","",1 ,4 8 ,5 10 ,2 4 ,"",11 ,22 ,50%
