From ,TP ,1 ,4 ,8 ,9 ,14 ,17 ,18 ,19 ,20 ,22 ,23 ,7 ,10 ,11 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Igor AKINFEEV 1 ,"95'05"" ","",4 ,"",1 ,6 ,1 ,"",1 ,1 ,1 ,"","","",1 ,4 10 ,11 11 ,1 1 ,16 ,22 ,73%
Sergey IGNASHEVICH 4 ,"95'05"" ",5 ,"",2 ,4 ,17 ,2 ,1 ,2 ,6 ,7 ,4 ,5 ,"","",8 11 ,45 55 ,2 3 ,55 ,69 ,80%
Denis GLUSHAKOV 8 ,"72'42"" ","",3 ,"","",1 ,2 ,1 ,3 ,2 ,3 ,3 ,"","","",1 3 ,12 18 ,5 8 ,18 ,29 ,62%
Alexander KOKORIN 9 ,"95'05"" ","","",1 ,"","",3 ,2 ,5 ,3 ,2 ,1 ,"",1 ,"",0 1 ,11 15 ,7 8 ,18 ,24 ,75%
Vasily BEREZUTSKIY 14 ,"95'05"" ",1 ,22 ,3 ,1 ,"",2 ,1 ,4 ,5 ,11 ,2 ,5 ,"",1 ,10 13 ,43 50 ,5 5 ,58 ,68 ,85%
Oleg SHATOV 17 ,"60'04"" ","",1 ,3 ,"","","","",4 ,1 ,7 ,3 ,"","","",1 1 ,8 12 ,10 13 ,19 ,26 ,73%
Yury ZHIRKOV 18 ,"71'14"" ","",3 ,1 ,2 ,"",2 ,"",1 ,2 ,"",6 ,"",1 ,"",1 1 ,11 16 ,6 9 ,18 ,26 ,69%
Alexander SAMEDOV 19 ,"95'05"" ","","",1 ,1 ,4 ,1 ,"","",7 ,12 ,1 ,1 ,5 ,1 ,1 5 ,26 38 ,7 10 ,34 ,53 ,64%
Victor FAYZULIN 20 ,"95'05"" ","",4 ,5 ,3 ,1 ,3 ,5 ,3 ,"",4 ,8 ,1 ,3 ,"",2 4 ,25 30 ,13 17 ,40 ,51 ,78%
Andrey ESHCHENKO 22 ,"95'05"" ",2 ,4 ,4 ,2 ,14 ,5 ,2 ,13 ,5 ,"",1 ,2 ,6 ,1 ,5 8 ,36 45 ,20 24 ,61 ,77 ,79%
Dmitry KOMBAROV 23 ,"95'05"" ",2 ,9 ,3 ,3 ,4 ,1 ,4 ,2 ,8 ,1 ,"","",1 ,"",2 7 ,23 33 ,13 16 ,38 ,56 ,68%
Igor DENISOV 7 ,"22'23"" ","",3 ,"",1 ,2 ,"","",3 ,1 ,4 ,1 ,"",3 ,"",2 2 ,13 15 ,3 3 ,18 ,20 ,90%
Alan DZAGOEV 10 ,"35'01"" ","","",1 ,2 ,1 ,"","",7 ,2 ,"","","","","",1 1 ,6 9 ,6 8 ,13 ,18 ,72%
Aleksandr KERZHAKOV 11 ,"23'52"" ","","","","","","","",1 ,"","",1 ,"","","",1 1 ,1 2 ,0 0 ,2 ,3 ,67%
Total passes received ,"",10 ,53 ,24 ,20 ,50 ,22 ,16 ,49 ,43 ,52 ,31 ,14 ,20 ,4 ,39 68 ,271 349 ,98 125 ,408 ,542 ,75%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,3 ,5 ,9 ,10 ,12 ,13 ,14 ,16 ,17 ,20 ,6 ,7 ,11 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
JUNG Sungryong 1 ,"95'05"" ","",2 ,"",1 ,1 ,"",3 ,"","",1 ,1 ,"","","",8 19 ,1 1 ,0 0 ,9 ,20 ,45%
YUN Sukyoung 3 ,"95'05"" ",1 ,"",9 ,4 ,"","",6 ,5 ,7 ,1 ,"","",2 ,1 ,2 7 ,25 33 ,9 15 ,36 ,55 ,65%
KIM Younggwon 5 ,"95'05"" ",2 ,8 ,"",5 ,2 ,"",3 ,3 ,19 ,4 ,10 ,"","",1 ,8 15 ,35 36 ,14 16 ,57 ,67 ,85%
SON Heungmin 9 ,"84'10"" ","",2 ,2 ,"",3 ,"","",2 ,3 ,2 ,1 ,"","",3 ,0 1 ,13 19 ,5 7 ,18 ,27 ,67%
PARK Chuyoung 10 ,"56'21"" ","","","",1 ,"","",5 ,3 ,3 ,2 ,"","","","",0 0 ,7 10 ,7 8 ,14 ,18 ,78%
LEE Yong 12 ,"95'05"" ","",1 ,"","",2 ,"",3 ,6 ,9 ,12 ,5 ,2 ,"",4 ,4 9 ,23 30 ,17 24 ,44 ,63 ,70%
KOO Jacheol 13 ,"95'05"" ","",2 ,2 ,3 ,1 ,3 ,"",3 ,8 ,3 ,"","","",3 ,1 2 ,17 20 ,10 17 ,28 ,39 ,72%
HAN Kookyoung 14 ,"95'05"" ","",5 ,5 ,3 ,1 ,7 ,5 ,"",1 ,7 ,6 ,3 ,"",4 ,6 6 ,33 36 ,8 13 ,47 ,55 ,85%
