From ,TP ,1 ,2 ,3 ,6 ,7 ,8 ,9 ,10 ,11 ,14 ,18 ,4 ,15 ,20 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
David OSPINA 1 ,"95'41"" ","",4 ,6 ,1 ,2 ,"",2 ,"",1 ,"","",1 ,"","",4 14 ,12 13 ,1 1 ,17 ,28 ,61%
Cristian ZAPATA 2 ,"95'41"" ",3 ,"",5 ,3 ,"",7 ,"",4 ,1 ,"",4 ,"","","",1 4 ,20 24 ,6 7 ,27 ,35 ,77%
Mario YEPES 3 ,"95'41"" ",1 ,6 ,"",3 ,3 ,2 ,1 ,6 ,2 ,"","",2 ,1 ,"",2 5 ,20 24 ,5 5 ,27 ,34 ,79%
Carlos SANCHEZ 6 ,"95'41"" ","",3 ,"","",5 ,4 ,1 ,4 ,3 ,1 ,3 ,"","",4 ,3 4 ,18 25 ,7 8 ,28 ,37 ,76%
Pablo ARMERO 7 ,"73'05"" ",1 ,1 ,2 ,5 ,"",2 ,5 ,4 ,1 ,5 ,"","","",2 ,1 5 ,21 24 ,6 7 ,28 ,36 ,78%
Abel AGUILAR 8 ,"79'47"" ","",3 ,2 ,"",3 ,"",1 ,4 ,7 ,1 ,8 ,"","",1 ,0 2 ,22 23 ,8 10 ,30 ,35 ,86%
Teofilo GUTIERREZ 9 ,"95'41"" ","","","",2 ,"",1 ,"",6 ,3 ,"","","","",2 ,1 1 ,9 16 ,4 8 ,14 ,25 ,56%
James RODRIGUEZ 10 ,"95'41"" ","","",2 ,1 ,2 ,5 ,5 ,"",8 ,2 ,5 ,1 ,"",4 ,5 11 ,22 30 ,8 13 ,35 ,54 ,65%
Juan CUADRADO 11 ,"95'41"" ",1 ,"","",2 ,"",3 ,7 ,5 ,"",1 ,5 ,"","",1 ,3 4 ,11 18 ,11 16 ,25 ,38 ,66%
Victor IBARBO 14 ,"53'54"" ","","",1 ,2 ,2 ,"","",1 ,2 ,"",1 ,"","","",0 0 ,2 6 ,7 8 ,9 ,14 ,64%
Juan ZUNIGA 18 ,"95'41"" ",2 ,4 ,"",2 ,"",3 ,5 ,5 ,10 ,1 ,"","","","",1 6 ,21 24 ,10 14 ,32 ,44 ,73%
Santiago ARIAS 4 ,"22'36"" ","","","",3 ,"","",1 ,2 ,"","","","",1 ,1 ,0 0 ,3 6 ,5 5 ,8 ,11 ,73%
Alexander MEJIA 15 ,"15'54"" ","","","","","","","","","","","",1 ,"","",0 0 ,1 2 ,0 0 ,1 ,2 ,50%
Juan QUINTERO 20 ,"41'47"" ","","","","",1 ,1 ,"",4 ,1 ,"",3 ,1 ,"","",0 0 ,7 10 ,4 4 ,11 ,14 ,79%
Total passes received ,"",8 ,21 ,18 ,24 ,18 ,28 ,28 ,45 ,39 ,11 ,29 ,6 ,2 ,15 ,21 56 ,189 245 ,82 106 ,292 ,407 ,72%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,3 ,5 ,9 ,10 ,12 ,15 ,17 ,19 ,20 ,22 ,6 ,8 ,11 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Boubacar BARRY 1 ,"95'41"" ","",4 ,2 ,"","","","","",1 ,2 ,3 ,"",1 ,"",4 14 ,7 7 ,2 2 ,13 ,23 ,57%
Arthur BOKA 3 ,"95'41"" ",1 ,"",2 ,10 ,3 ,2 ,1 ,"",1 ,4 ,7 ,"",1 ,1 ,1 8 ,23 25 ,9 9 ,33 ,42 ,79%
Didier ZOKORA 5 ,"95'41"" ",1 ,"","",11 ,1 ,1 ,1 ,10 ,4 ,12 ,10 ,"","","",7 12 ,41 43 ,3 3 ,51 ,58 ,88%
Ismael TIOTE 9 ,"95'41"" ",2 ,3 ,15 ,"",2 ,1 ,1 ,5 ,13 ,6 ,5 ,1 ,"",4 ,7 8 ,40 46 ,11 13 ,58 ,67 ,87%
 GERVINHO 10 ,"95'41"" ","",6 ,"",2 ,"",1 ,3 ,2 ,9 ,1 ,1 ,"",3 ,"",1 1 ,11 14 ,16 21 ,28 ,36 ,78%
Wilfried BONY 12 ,"61'19"" ","","",1 ,2 ,2 ,"",1 ,1 ,1 ,1 ,"","","","",1 1 ,6 8 ,2 4 ,9 ,13 ,69%
Max GRADEL 15 ,"68'14"" ","","",1 ,1 ,4 ,1 ,"",4 ,2 ,1 ,"","","",1 ,0 2 ,7 12 ,8 12 ,15 ,26 ,58%
Serge AURIER 17 ,"95'41"" ","","",4 ,7 ,2 ,"",4 ,"",2 ,5 ,"",4 ,2 ,2 ,0 9 ,20 25 ,12 18 ,32 ,52 ,62%
Yaya TOURE 19 ,"95'41"" ","",1 ,2 ,7 ,8 ,3 ,3 ,8 ,"",4 ,3 ,1 ,1 ,2 ,3 8 ,30 36 ,10 11 ,43 ,55 ,78%
Die SEREY 20 ,"73'40"" ","",5 ,8 ,9 ,6 ,1 ,"",2 ,7 ,"",3 ,"","","",2 6 ,30 30 ,9 10 ,41 ,46 ,89%
Souleymane BAMBA 22 ,"95'41"" ",2 ,4 ,11 ,8 ,1 ,1 ,1 ,"",5 ,6 ,"","","","",2 6 ,32 35 ,5 5 ,39 ,46 ,85%
Mathis BOLLY 6 ,"22'01"" ","","","","",1 ,"","",3 ,"","","","",1 ,"",0 0 ,3 3 ,2 2 ,5 ,5 ,100%
Salomon KALOU 8 ,"27'27"" ","",2 ,"",1 ,1 ,"","",2 ,1 ,"","","","","",1 1 ,3 4 ,3 3 ,7 ,8 ,88%
Didier DROGBA 11 ,"34'22"" ","","","",1 ,2 ,"","","","","","","","","",0 0 ,2 4 ,1 3 ,3 ,7 ,43%
Total passes received ,"",6 ,25 ,46 ,59 ,33 ,11 ,15 ,37 ,46 ,42 ,32 ,6 ,9 ,10 ,29 76 ,255 292 ,93 116 ,377 ,484 ,78%
