From ,TP ,1 ,3 ,6 ,7 ,9 ,13 ,14 ,17 ,20 ,21 ,22 ,4 ,11 ,19 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Fernando MUSLERA 1 ,"96'05"" ","","","",1 ,2 ,"","","","",1 ,"","",2 ,1 ,7 21 ,0 0 ,0 0 ,"",7 ,21 ,33%
Diego GODIN 3 ,"96'05"" ","","",3 ,"","",1 ,"","",1 ,"",1 ,"","","",0 5 ,5 7 ,1 1 ,"",6 ,13 ,46%
Alvaro PEREIRA 6 ,"96'05"" ","",2 ,"",2 ,5 ,"",1 ,2 ,3 ,6 ,"","",1 ,"",2 4 ,14 23 ,6 12 ,"",22 ,39 ,56%
Cristian RODRIGUEZ 7 ,"96'05"" ","",1 ,5 ,"",5 ,"",1 ,"","",2 ,1 ,"","","",1 1 ,8 17 ,6 6 ,"",15 ,24 ,62%
Luis SUAREZ 9 ,"88'13"" ","","",1 ,1 ,"","",4 ,"",2 ,5 ,2 ,"",1 ,"",2 5 ,7 20 ,7 10 ,"",16 ,35 ,46%
Jose GIMENEZ 13 ,"96'05"" ","",2 ,1 ,1 ,1 ,"",2 ,"",1 ,"",3 ,"","","",2 4 ,4 7 ,5 6 ,"",11 ,17 ,65%
Nicolas LODEIRO 14 ,"67'36"" ","","",1 ,5 ,3 ,1 ,"",1 ,"",2 ,6 ,"","","",0 1 ,14 20 ,5 9 ,"",19 ,30 ,63%
Egidio AREVALO 17 ,"96'05"" ","","",4 ,"",1 ,1 ,3 ,"",4 ,2 ,3 ,"","","",1 1 ,14 19 ,3 4 ,"",18 ,24 ,75%
Alvaro GONZALEZ 20 ,"79'01"" ","","",2 ,"",1 ,1 ,5 ,2 ,"",2 ,5 ,"","","",0 0 ,10 20 ,8 14 ,"",18 ,34 ,53%
Edinson CAVANI 21 ,"96'05"" ","",1 ,3 ,1 ,3 ,2 ,3 ,2 ,3 ,"",1 ,"",1 ,"",5 6 ,8 9 ,7 8 ,"",20 ,23 ,87%
Martin CACERES 22 ,"96'05"" ","","",1 ,2 ,5 ,2 ,6 ,2 ,4 ,1 ,"","",2 ,"",3 8 ,17 31 ,5 9 ,"",25 ,48 ,52%
Jorge FUCILE 4 ,"17'03"" ","","","","",1 ,"","","","","","","","","",0 0 ,1 2 ,0 0 ,"",1 ,2 ,50%
Cristhian STUANI 11 ,"28'29"" ","","",1 ,"",2 ,"","","",1 ,"",1 ,"","","",0 1 ,4 5 ,1 1 ,"",5 ,7 ,71%
Sebastian COATES 19 ,"7'52"" ","","","","","","","","","",2 ,"","","","",1 1 ,1 2 ,0 0 ,"",2 ,3 ,67%
Total passes received ,"",0 ,6 ,22 ,13 ,29 ,8 ,25 ,9 ,19 ,23 ,23 ,0 ,7 ,1 ,24 58 ,107 182 ,54 80 ,"",185 ,320 ,58%
"","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"","",Total,""
From ,TP ,1 ,2 ,3 ,4 ,5 ,6 ,9 ,10 ,11 ,14 ,19 ,18 ,20 ,21 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Joe HART 1 ,"96'05"" ","",4 ,3 ,1 ,7 ,3 ,1 ,"","",2 ,1 ,"","","",9 14 ,10 10 ,3 3 ,"",22 ,27 ,81%
Glen JOHNSON 2 ,"96'05"" ","","","",7 ,7 ,2 ,11 ,4 ,2 ,10 ,11 ,"",1 ,4 ,5 7 ,33 43 ,21 28 ,"",59 ,78 ,76%
Leighton BAINES 3 ,"96'05"" ",1 ,1 ,"",3 ,2 ,10 ,6 ,7 ,10 ,9 ,2 ,"",2 ,2 ,4 9 ,31 41 ,20 24 ,"",55 ,74 ,74%
Steven GERRARD 4 ,"96'05"" ",1 ,11 ,7 ,"",3 ,5 ,3 ,4 ,"",4 ,1 ,"",2 ,1 ,10 16 ,28 33 ,4 8 ,"",42 ,57 ,74%
Gary CAHILL 5 ,"96'05"" ",2 ,11 ,3 ,6 ,"",4 ,2 ,1 ,1 ,7 ,2 ,"",1 ,"",6 7 ,25 29 ,9 11 ,"",40 ,47 ,85%
Phil JAGIELKA 6 ,"96'05"" ",7 ,2 ,8 ,7 ,7 ,"",1 ,4 ,3 ,2 ,1 ,"","",1 ,6 7 ,28 36 ,9 10 ,"",43 ,53 ,81%
Daniel STURRIDGE 9 ,"96'05"" ","",6 ,2 ,1 ,"","","",2 ,4 ,2 ,1 ,1 ,"","",1 1 ,10 17 ,8 14 ,"",19 ,32 ,59%
Wayne ROONEY 10 ,"96'05"" ","",5 ,2 ,4 ,"",2 ,3 ,"","",1 ,3 ,"",1 ,2 ,5 8 ,6 9 ,12 16 ,"",23 ,33 ,70%
Danny WELBECK 11 ,"71'19"" ","",1 ,2 ,2 ,"",2 ,5 ,2 ,"",4 ,"","","","",0 1 ,13 20 ,5 10 ,"",18 ,31 ,58%
Jordan HENDERSON 14 ,"87'37"" ","",9 ,17 ,2 ,5 ,6 ,4 ,2 ,4 ,"",3 ,"",1 ,1 ,7 8 ,34 38 ,13 17 ,"",54 ,63 ,86%
Raheem STERLING 19 ,"64'54"" ","",6 ,1 ,"",1 ,"","",3 ,2 ,3 ,"","","","",1 1 ,9 13 ,6 10 ,"",16 ,24 ,67%
Rickie LAMBERT 18 ,"8'28"" ","","","","","","","","","","","","","","",0 0 ,0 1 ,0 0 ,"",0 ,1 ,0%
Adam LALLANA 20 ,"24'45"" ","","",3 ,5 ,3 ,"","",2 ,"","","","","","",0 0 ,8 9 ,5 5 ,"",13 ,14 ,93%
Ross BARKLEY 21 ,"31'10"" ","",2 ,2 ,"","","",1 ,3 ,"",1 ,"","",2 ,"",2 3 ,3 5 ,6 6 ,"",11 ,14 ,79%
Total passes received ,"",11 ,58 ,50 ,38 ,35 ,34 ,37 ,34 ,26 ,45 ,25 ,1 ,10 ,11 ,56 82 ,238 304 ,121 162 ,"",415 ,548 ,76%
