From ,TP ,1 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,15 ,16 ,21 ,10 ,11 ,22 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Gianluigi BUFFON 1 ,"95'56"" ","",6 ,3 ,"","",1 ,2 ,1 ,8 ,10 ,3 ,"","",1 ,5 7 ,24 24 ,6 6 ,35 ,37 ,95%
Giorgio CHIELLINI 3 ,"95'56"" ",8 ,"",8 ,"","","",4 ,1 ,8 ,17 ,14 ,2 ,1 ,3 ,5 8 ,49 55 ,12 13 ,66 ,76 ,87%
Matteo DARMIAN 4 ,"95'56"" ","",7 ,"",1 ,"","",2 ,4 ,1 ,3 ,9 ,3 ,"",8 ,2 4 ,26 27 ,10 12 ,38 ,43 ,88%
Thiago MOTTA 5 ,"47'14"" ","",5 ,1 ,"",2 ,3 ,1 ,1 ,2 ,12 ,4 ,"","","",3 3 ,20 25 ,8 8 ,31 ,36 ,86%
Antonio CANDREVA 6 ,"58'16"" ","","","",2 ,"","",1 ,"",2 ,1 ,2 ,1 ,"","",0 2 ,9 13 ,0 4 ,9 ,19 ,47%
Ignazio ABATE 7 ,"95'56"" ",1 ,2 ,"",1 ,3 ,"",4 ,"",8 ,5 ,5 ,1 ,"","",1 3 ,18 23 ,11 13 ,30 ,39 ,77%
Claudio MARCHISIO 8 ,"71'11"" ","",1 ,5 ,5 ,"","","",4 ,2 ,1 ,2 ,3 ,"","",1 3 ,20 21 ,2 5 ,23 ,29 ,79%
Mario BALOTELLI 9 ,"95'56"" ","",1 ,"","",2 ,"",5 ,"","","",2 ,"","","",0 3 ,7 9 ,3 5 ,10 ,17 ,59%
Andrea BARZAGLI 15 ,"95'56"" ",4 ,18 ,1 ,3 ,2 ,6 ,1 ,"","",23 ,11 ,1 ,4 ,1 ,4 5 ,57 59 ,14 16 ,75 ,80 ,94%
Daniele DE ROSSI 16 ,"95'56"" ","",9 ,5 ,16 ,4 ,7 ,6 ,4 ,15 ,"",21 ,6 ,1 ,3 ,5 8 ,74 78 ,18 18 ,97 ,104 ,93%
Andrea PIRLO 21 ,"95'56"" ","",11 ,7 ,5 ,3 ,6 ,1 ,6 ,12 ,16 ,"",4 ,1 ,4 ,13 15 ,47 48 ,16 19 ,76 ,82 ,93%
Antonio CASSANO 10 ,"48'42"" ","",1 ,2 ,"","","",3 ,"",1 ,3 ,2 ,"",1 ,2 ,0 2 ,12 16 ,3 5 ,15 ,23 ,65%
Alessio CERCI 11 ,"24'45"" ","","","","","",1 ,"","",1 ,"","",1 ,"",1 ,1 1 ,2 3 ,1 2 ,4 ,6 ,67%
Lorenzo INSIGNE 22 ,"37'39"" ","",1 ,3 ,"","","","","","",2 ,1 ,5 ,1 ,"",1 2 ,7 14 ,5 5 ,13 ,21 ,62%
Total passes received ,"",13 ,62 ,35 ,33 ,16 ,24 ,30 ,21 ,60 ,93 ,76 ,27 ,9 ,23 ,41 66 ,372 415 ,109 131 ,522 ,612 ,85%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,3 ,4 ,5 ,6 ,7 ,9 ,10 ,15 ,16 ,17 ,14 ,21 ,22 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Keylor NAVAS 1 ,"95'56"" ","",3 ,5 ,"",3 ,3 ,"",1 ,1 ,1 ,"",1 ,"","",7 22 ,10 10 ,1 1 ,18 ,33 ,55%
Giancarlo GONZALEZ 3 ,"95'56"" ",2 ,"",5 ,3 ,2 ,1 ,1 ,1 ,1 ,1 ,2 ,"","",1 ,3 3 ,10 13 ,7 7 ,20 ,23 ,87%
Michael UMANA 4 ,"95'56"" ",2 ,3 ,"",4 ,1 ,1 ,"",3 ,9 ,1 ,7 ,"","","",2 3 ,22 24 ,7 8 ,31 ,35 ,89%
Celso BORGES 5 ,"95'56"" ","",2 ,"","",6 ,8 ,2 ,5 ,4 ,2 ,4 ,4 ,1 ,"",4 9 ,27 33 ,7 7 ,38 ,49 ,78%
Oscar DUARTE 6 ,"95'56"" ",1 ,3 ,1 ,6 ,"",1 ,2 ,2 ,1 ,3 ,5 ,"","","",6 9 ,13 16 ,6 7 ,25 ,32 ,78%
Christian BOLANOS 7 ,"95'56"" ","",2 ,"",7 ,1 ,"",1 ,3 ,5 ,5 ,6 ,1 ,1 ,3 ,5 9 ,10 17 ,20 21 ,35 ,47 ,74%
Joel CAMPBELL 9 ,"75'58"" ","","","",2 ,1 ,"","",5 ,3 ,1 ,"","","","",2 2 ,5 9 ,5 9 ,12 ,20 ,60%
Bryan RUIZ 10 ,"82'39"" ","","",1 ,5 ,4 ,8 ,3 ,"",1 ,4 ,4 ,"","","",1 1 ,20 24 ,9 11 ,30 ,36 ,83%
Junior DIAZ 15 ,"95'56"" ","",2 ,9 ,3 ,1 ,10 ,3 ,3 ,"","",3 ,"","","",4 8 ,21 28 ,9 9 ,34 ,45 ,76%
Cristian GAMBOA 16 ,"95'56"" ","",1 ,"",3 ,6 ,2 ,3 ,4 ,"","",3 ,"","","",1 2 ,15 19 ,6 9 ,22 ,30 ,73%
Yeltsin TEJEDA 17 ,"69'16"" ","","",2 ,4 ,3 ,3 ,"",6 ,8 ,2 ,"","","","",2 6 ,16 19 ,10 13 ,28 ,38 ,74%
Randall BRENES 14 ,"13'16"" ","","","",1 ,"",1 ,"","","","","","",2 ,"",2 2 ,0 2 ,2 3 ,4 ,7 ,57%
Marcos URENA 21 ,"19'58"" ","","","","","","","","","","","",1 ,"","",0 0 ,1 3 ,0 2 ,1 ,5 ,20%
Jose CUBERO 22 ,"26'39"" ","",1 ,"",1 ,"",1 ,"","",1 ,2 ,"","","","",1 1 ,2 2 ,3 3 ,6 ,6 ,100%
Total passes received ,"",5 ,17 ,23 ,39 ,28 ,39 ,15 ,33 ,34 ,22 ,34 ,7 ,4 ,4 ,40 77 ,172 219 ,92 110 ,304 ,406 ,75%
