From ,TP ,"",18 ,3 ,5 ,7 ,11 ,13 ,14 ,15 ,19 ,20 ,21 ,6 ,10 ,23 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Noel VALLADARES 18 ,"97'27"" ","","","",1 ,"","",3 ,"",2 ,1 ,3 ,1 ,2 ,"","",9 15 ,3 4 ,1 1 ,13 ,20 ,65%
Maynor FIGUEROA 3 ,"97'27"" ","","","",4 ,1 ,5 ,2 ,4 ,2 ,3 ,5 ,4 ,4 ,2 ,"",4 14 ,25 32 ,7 9 ,36 ,55 ,65%
Victor BERNARDEZ 5 ,"97'27"" ","",2 ,2 ,"","",1 ,4 ,"",2 ,1 ,2 ,1 ,"",1 ,"",4 10 ,10 12 ,2 3 ,16 ,25 ,64%
Emilio IZAGUIRRE 7 ,"48'02"" ","","",3 ,"","","",1 ,"",2 ,3 ,3 ,"","","","",2 6 ,8 11 ,2 3 ,12 ,20 ,60%
Jerry BENGTSON 11 ,"97'27"" ","","",2 ,"",2 ,"",2 ,3 ,"","","",1 ,"",1 ,"",1 2 ,4 8 ,6 8 ,11 ,18 ,61%
Carlo COSTLY 13 ,"97'27"" ","","",2 ,"","",2 ,"","",2 ,"",1 ,"",3 ,1 ,"",1 3 ,4 9 ,6 9 ,11 ,21 ,52%
Boniek GARCIA 14 ,"85'14"" ","","",1 ,1 ,"",3 ,2 ,"",3 ,8 ,5 ,2 ,"","","",2 5 ,13 22 ,10 13 ,25 ,40 ,62%
Roger ESPINOZA 15 ,"97'27"" ","",2 ,3 ,"",1 ,3 ,4 ,2 ,"",3 ,10 ,4 ,2 ,"","",1 2 ,27 30 ,6 8 ,34 ,40 ,85%
Luis GARRIDO 19 ,"73'25"" ","",1 ,4 ,1 ,1 ,"",3 ,6 ,5 ,"",6 ,1 ,"","","",1 2 ,18 23 ,9 13 ,28 ,38 ,74%
Jorge CLAROS 20 ,"97'27"" ","",1 ,5 ,4 ,6 ,1 ,2 ,3 ,7 ,4 ,"",8 ,4 ,2 ,1 ,9 12 ,31 36 ,8 10 ,48 ,58 ,83%
Brayan BECKELES 21 ,"97'27"" ","",1 ,3 ,4 ,1 ,2 ,2 ,10 ,3 ,3 ,2 ,"","","",1 ,3 9 ,19 25 ,10 15 ,32 ,49 ,65%
Juan Carlos GARCIA 6 ,"49'25"" ","","",3 ,1 ,"",1 ,"","",6 ,"",6 ,"","",3 ,"",0 1 ,8 11 ,12 16 ,20 ,28 ,71%
Mario MARTINEZ 10 ,"24'02"" ","","","","","","","",1 ,"","",5 ,"",5 ,"","",0 0 ,8 11 ,3 3 ,11 ,14 ,79%
Marvin CHAVEZ 23 ,"12'13"" ","","","","","",2 ,"","","","","","","","","",0 0 ,2 3 ,0 0 ,2 ,3 ,67%
