From ,TP ,1 ,2 ,5 ,7 ,8 ,9 ,10 ,13 ,17 ,18 ,22 ,3 ,23 ,PC ,PA PC ,"",PA PC ,"",PA PC ,"",PA ,%,""
Vincent ENYEAMA 1 ,"94'17"" ","","","","",4 ,2 ,"","",1 ,1 ,8 ,1 ,1 ,11 ,30 7 ,"",9 0 ,"",0 18 ,"",39 ,46%,""
Joseph YOBO 2 ,"94'17"" ",2 ,"",2 ,"",5 ,2 ,2 ,2 ,3 ,"",1 ,"","",2 ,2 15 ,"",17 2 ,"",3 19 ,"",22 ,86%,""
Efe AMBROSE 5 ,"94'17"" ",3 ,6 ,"","",11 ,3 ,6 ,"",3 ,2 ,1 ,"",1 ,3 ,7 21 ,"",29 12 ,"",16 36 ,"",52 ,69%,""
Ahmed MUSA 7 ,"65'33"" ","","",1 ,"",1 ,1 ,4 ,"","",1 ,1 ,"","",1 ,3 7 ,"",9 1 ,"",4 9 ,"",16 ,56%,""
Peter ODEMWINGIE 8 ,"94'17"" ","",3 ,7 ,1 ,"",8 ,9 ,2 ,6 ,5 ,1 ,"",1 ,3 ,6 25 ,"",29 15 ,"",17 43 ,"",52 ,83%,""
Emmanuel EMENIKE 9 ,"94'17"" ","","",4 ,1 ,9 ,"",2 ,"",4 ,3 ,"",1 ,"",0 ,3 14 ,"",19 10 ,"",13 24 ,"",35 ,69%,""
John Obi MIKEL 10 ,"94'17"" ",2 ,"",5 ,5 ,9 ,9 ,"",1 ,8 ,4 ,2 ,"",2 ,11 ,13 27 ,"",36 9 ,"",11 47 ,"",60 ,78%,""
Juwon OSHANIWA 13 ,"94'17"" ","",1 ,"","",1 ,2 ,5 ,"",3 ,"",1 ,"",1 ,0 ,3 13 ,"",15 1 ,"",2 14 ,"",20 ,70%,""
Ogenyi ONAZI 17 ,"94'17"" ",1 ,1 ,2 ,"",7 ,4 ,9 ,3 ,"",6 ,3 ,"",2 ,3 ,3 25 ,"",38 10 ,"",13 38 ,"",54 ,70%,""
Michael BABATUNDE 18 ,"75'21"" ","","",2 ,2 ,3 ,3 ,7 ,"",3 ,"","","","",2 ,4 12 ,"",16 6 ,"",8 20 ,"",28 ,71%,""
Kenneth OMERUO 22 ,"94'17"" ",4 ,2 ,3 ,1 ,1 ,"",6 ,1 ,3 ,1 ,"","","",2 ,5 16 ,"",20 4 ,"",7 22 ,"",32 ,69%,""
Ejike UZOENYI 3 ,"18'56"" ","","","","","","","","","","","","","",0 ,0 0 ,"",1 0 ,"",1 0 ,"",2 ,0%,""
Shola AMEOBI 23 ,"28'44"" ","","",1 ,"",1 ,4 ,1 ,"",1 ,1 ,"","","",3 ,4 4 ,"",4 2 ,"",2 9 ,"",10 ,90%,""
Total passes received ,"",12 ,13 ,27 ,10 ,52 ,38 ,51 ,9 ,35 ,24 ,18 ,2 ,8 ,41 ,83 186 ,"",242 72 ,"",97 299 ,"",422 ,71%,""
"","",To,"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,"",Short ,"","",Total,""
