From ,TP ,"",1 ,3 ,5 ,9 ,10 ,12 ,13 ,14 ,16 ,17 ,20 ,11 ,18 ,19 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
JUNG Sungryong 1 ,"96'05"" ","","","",3 ,1 ,4 ,"",1 ,"",1 ,"",1 ,"",1 ,1 ,9 14 ,3 3 ,1 1 ,13 ,18 ,72%
YUN Sukyoung 3 ,"96'05"" ","",1 ,"",9 ,5 ,2 ,2 ,"",2 ,8 ,"",2 ,"",1 ,"",2 4 ,25 34 ,5 7 ,32 ,45 ,71%
KIM Younggwon 5 ,"96'05"" ","",1 ,7 ,"",1 ,"",1 ,2 ,4 ,11 ,2 ,6 ,2 ,5 ,"",10 14 ,27 28 ,5 5 ,42 ,47 ,89%
SON Heungmin 9 ,"96'05"" ","",1 ,3 ,1 ,"",2 ,2 ,4 ,2 ,6 ,5 ,2 ,"",2 ,"",6 7 ,15 26 ,9 12 ,30 ,45 ,67%
PARK Chuyoung 10 ,"58'51"" ","","",1 ,"",4 ,"",1 ,3 ,1 ,1 ,2 ,"","","","",0 1 ,5 9 ,8 10 ,13 ,20 ,65%
LEE Yong 12 ,"96'05"" ","",1 ,"",2 ,4 ,2 ,"",8 ,4 ,5 ,6 ,11 ,1 ,"","",5 14 ,28 40 ,11 15 ,44 ,69 ,64%
KOO Jacheol 13 ,"96'05"" ","","","",3 ,8 ,1 ,3 ,"",3 ,4 ,4 ,3 ,"","",2 ,2 2 ,19 25 ,10 14 ,31 ,41 ,76%
HAN Kookyoung 14 ,"79'21"" ","","",2 ,4 ,3 ,"",2 ,2 ,"",4 ,2 ,6 ,"",1 ,"",5 5 ,17 20 ,4 7 ,26 ,32 ,81%
KI Sungyueng 16 ,"96'05"" ","",1 ,8 ,7 ,3 ,1 ,5 ,6 ,2 ,"",3 ,10 ,"",1 ,1 ,7 10 ,33 41 ,8 10 ,48 ,61 ,79%
LEE Chungyong 17 ,"65'52"" ","","",2 ,1 ,2 ,1 ,4 ,5 ,1 ,2 ,"","","","","",1 2 ,13 22 ,4 6 ,18 ,30 ,60%
HONG Jeongho 20 ,"96'05"" ","",1 ,2 ,9 ,3 ,4 ,9 ,4 ,5 ,5 ,3 ,"",1 ,2 ,"",9 13 ,31 37 ,8 9 ,48 ,59 ,81%
LEE Keunho 11 ,"30'13"" ","","",1 ,"","","",1 ,2 ,1 ,"","",1 ,"","","",0 1 ,2 5 ,4 6 ,6 ,12 ,50%
KIM Shinwook 18 ,"37'14"" ","","","",1 ,1 ,"","","",1 ,"","","",1 ,"","",0 0 ,4 7 ,0 1 ,4 ,8 ,50%
JI Dongwon 19 ,"16'44"" ","","","","",1 ,"","","","","","","","","","",0 0 ,1 3 ,0 1 ,1 ,4 ,25%
Total passes received ,"","",6 ,26 ,40 ,36 ,17 ,30 ,37 ,26 ,47 ,27 ,42 ,5 ,13 ,4 ,56 87 ,223 300 ,77 104 ,356 ,491 ,73%
"","","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,"",23 ,2 ,5 ,6 ,10 ,11 ,12 ,13 ,14 ,18 ,20 ,4 ,8 ,9 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Rais MBOLHI 23 ,"96'05"" ","","",2 ,1 ,1 ,1 ,1 ,"",1 ,1 ,1 ,1 ,"","",1 ,7 18 ,3 3 ,1 1 ,11 ,22 ,50%
Madjid BOUGUERRA 2 ,"90'15"" ","",4 ,"",12 ,3 ,2 ,1 ,3 ,1 ,1 ,1 ,3 ,"","","",8 14 ,18 19 ,5 8 ,31 ,41 ,76%
Rafik HALLICHE 5 ,"96'05"" ","",3 ,10 ,"",6 ,2 ,4 ,1 ,"",9 ,2 ,2 ,"","",1 ,8 15 ,27 34 ,5 5 ,40 ,54 ,74%
Djamel MESBAH 6 ,"96'05"" ","","",1 ,10 ,"",3 ,5 ,3 ,8 ,9 ,5 ,1 ,1 ,1 ,"",4 6 ,31 37 ,12 15 ,47 ,58 ,81%
Sofiane FEGHOULI 10 ,"96'05"" ","","","",1 ,2 ,"",12 ,3 ,"",2 ,"",5 ,"",1 ,"",0 3 ,13 20 ,13 18 ,26 ,41 ,63%
Yacine BRAHIMI 11 ,"78'38"" ","","",5 ,3 ,1 ,7 ,"",1 ,2 ,6 ,6 ,3 ,"","",2 ,4 9 ,23 26 ,9 12 ,36 ,47 ,77%
Carl MEDJANI 12 ,"96'05"" ","","",2 ,3 ,1 ,6 ,2 ,"",2 ,1 ,1 ,1 ,"",1 ,"",1 2 ,14 18 ,5 7 ,20 ,27 ,74%
Islam SLIMANI 13 ,"96'05"" ","","",2 ,"",2 ,2 ,2 ,1 ,"",2 ,4 ,2 ,"",1 ,"",0 1 ,12 20 ,6 7 ,18 ,28 ,64%
Nabil BENTALEB 14 ,"96'05"" ","",1 ,3 ,6 ,7 ,1 ,4 ,4 ,2 ,"",4 ,3 ,"","",1 ,3 5 ,21 26 ,12 15 ,36 ,46 ,78%
Abdelmoumene DJABOU 18 ,"74'39"" ","","","",3 ,3 ,1 ,2 ,"",3 ,6 ,"",1 ,"","","",3 4 ,12 16 ,4 8 ,19 ,28 ,68%
Aissa MANDI 20 ,"96'05"" ","","",7 ,2 ,2 ,11 ,2 ,2 ,5 ,"","","","","",2 ,5 7 ,15 22 ,13 15 ,33 ,44 ,75%
Esseid BELKALEM 4 ,"5'51"" ","","","","","","","","","","","","","","","",0 1 ,0 2 ,0 0 ,0 ,3 ,0%
Medhi LACEN 8 ,"17'27"" ","","","","",1 ,2 ,"",1 ,2 ,1 ,"","","","",2 ,0 0 ,7 9 ,2 2 ,9 ,11 ,82%
Nabil GHILAS 9 ,"21'26"" ","","","","","",1 ,2 ,"","","","",1 ,"",1 ,"",0 1 ,3 4 ,2 3 ,5 ,8 ,62%
Total passes received ,"","",8 ,32 ,41 ,29 ,39 ,37 ,19 ,26 ,38 ,24 ,23 ,1 ,5 ,9 ,43 86 ,199 256 ,89 116 ,331 ,458 ,72%
