From ,TP ,"",22 ,2 ,3 ,4 ,6 ,7 ,10 ,13 ,14 ,15 ,16 ,5 ,11 ,21 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Alexander DOMINGUEZ 22 ,"96'08"" ","","",2 ,1 ,1 ,1 ,"",2 ,5 ,1 ,"",1 ,2 ,"","",13 28 ,3 4 ,0 0 ,"",16 ,32 ,50%
Jorge GUAGUA 2 ,"96'08"" ","",4 ,"",3 ,5 ,1 ,"",1 ,3 ,3 ,1 ,2 ,"",1 ,"",4 9 ,19 25 ,1 2 ,"",24 ,36 ,67%
Frickson ERAZO 3 ,"96'08"" ","",2 ,7 ,"","",4 ,1 ,4 ,1 ,4 ,1 ,"","","","",2 9 ,14 18 ,8 12 ,"",24 ,39 ,62%
Juan PAREDES 4 ,"96'08"" ","","",4 ,"","",5 ,2 ,3 ,2 ,4 ,2 ,7 ,1 ,"","",2 6 ,24 27 ,4 4 ,"",30 ,37 ,81%
Cristhian NOBOA 6 ,"90'58"" ","","",2 ,2 ,1 ,"",4 ,2 ,1 ,"",5 ,3 ,1 ,"","",1 6 ,13 16 ,7 8 ,"",21 ,30 ,70%
Jefferson MONTERO 7 ,"64'46"" ","","","","","",1 ,"",2 ,"","","",3 ,"","","",0 2 ,2 8 ,4 11 ,"",6 ,21 ,29%
Walter AYOVI 10 ,"96'08"" ","",1 ,"",7 ,1 ,8 ,2 ,"",1 ,1 ,7 ,"","","","",3 4 ,16 28 ,9 9 ,"",28 ,41 ,68%
Enner VALENCIA 13 ,"96'08"" ","","","","","",1 ,"",1 ,"",2 ,"",1 ,"","","",0 2 ,4 10 ,1 5 ,"",5 ,17 ,29%
Oswaldo MINDA 14 ,"96'08"" ","",1 ,5 ,4 ,4 ,2 ,"",1 ,2 ,"",2 ,2 ,2 ,"","",3 4 ,20 27 ,2 3 ,"",25 ,34 ,74%
Michael ARROYO 15 ,"83'01"" ","","",2 ,3 ,3 ,4 ,1 ,4 ,1 ,3 ,"",4 ,1 ,"","",4 7 ,14 24 ,8 11 ,"",26 ,42 ,62%
Antonio VALENCIA 16 ,"51'25"" ","","","",2 ,3 ,1 ,3 ,"",1 ,2 ,8 ,"","","","",1 3 ,13 15 ,6 8 ,"",20 ,26 ,77%
Alex IBARRA 5 ,"31'22"" ","","","","",3 ,"","",1 ,"","","","","","","",0 0 ,3 5 ,1 3 ,"",4 ,8 ,50%
Felipe CAICEDO 11 ,"5'10"" ","","","","",1 ,"","","","","","","","","","",0 0 ,1 1 ,0 1 ,"",1 ,2 ,50%
Gabriel ACHILIER 21 ,"13'07"" ","","","","","","","","","","","","","","","",0 1 ,0 0 ,0 0 ,"",0 ,1 ,0%
Total passes received ,"","",8 ,22 ,22 ,22 ,28 ,13 ,21 ,17 ,20 ,26 ,23 ,7 ,1 ,0 ,33 81 ,146 208 ,51 77 ,"",230 ,366 ,63%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"","",Total,""
From ,TP ,"",1 ,5 ,10 ,11 ,14 ,15 ,17 ,18 ,19 ,21 ,22 ,4 ,9 ,20 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Hugo LLORIS 1 ,"96'08"" ","","","","","",1 ,3 ,2 ,2 ,2 ,4 ,2 ,3 ,"","",7 11 ,10 10 ,2 2 ,"",19 ,23 ,83%
