From ,TP ,"",1 ,2 ,4 ,5 ,7 ,8 ,9 ,11 ,14 ,15 ,21 ,6 ,19 ,23 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Asmir BEGOVIC 1 ,"96'02"" ","","",1 ,3 ,"",3 ,2 ,1 ,2 ,3 ,3 ,"",1 ,"","",7 13 ,11 11 ,1 1 ,19 ,25 ,76%
Avdija VRSAJEVIC 2 ,"96'02"" ","",1 ,"","",1 ,6 ,7 ,3 ,3 ,3 ,12 ,3 ,2 ,1 ,"",0 0 ,29 39 ,13 17 ,42 ,56 ,75%
Emir SPAHIC 4 ,"96'02"" ","",4 ,"","",5 ,21 ,9 ,1 ,2 ,11 ,17 ,5 ,"",1 ,1 ,8 12 ,51 56 ,18 20 ,77 ,88 ,88%
Sead KOLASINAC 5 ,"96'02"" ","","",1 ,8 ,"",7 ,9 ,4 ,1 ,11 ,3 ,2 ,"","",3 ,1 2 ,32 38 ,16 17 ,49 ,57 ,86%
Muhamed BESIC 7 ,"96'02"" ","","",6 ,15 ,12 ,"",17 ,2 ,3 ,9 ,11 ,10 ,2 ,1 ,1 ,16 20 ,52 61 ,21 24 ,89 ,105 ,85%
Miralem PJANIC 8 ,"96'02"" ","",1 ,6 ,12 ,7 ,15 ,"",3 ,5 ,4 ,3 ,8 ,2 ,"","",8 14 ,41 49 ,17 18 ,66 ,81 ,81%
Vedad IBISEVIC 9 ,"96'02"" ","","",5 ,"",1 ,2 ,2 ,"","",2 ,1 ,"",1 ,"",1 ,0 2 ,6 7 ,9 11 ,15 ,20 ,75%
Edin DZEKO 11 ,"87'01"" ","","",2 ,"",2 ,1 ,1 ,1 ,"",3 ,4 ,"","","",1 ,0 1 ,12 18 ,3 6 ,15 ,25 ,60%
Tino Sven SUSIC 14 ,"81'57"" ","","",3 ,9 ,12 ,5 ,11 ,2 ,3 ,"",2 ,1 ,"","","",4 5 ,27 36 ,17 19 ,48 ,60 ,80%
Toni SUNJIC 15 ,"96'02"" ","",2 ,6 ,17 ,"",21 ,11 ,"",2 ,5 ,"",3 ,5 ,"","",1 6 ,51 55 ,20 24 ,72 ,85 ,85%
Anel HADZIC 21 ,"63'48"" ","","",6 ,2 ,"",5 ,6 ,2 ,2 ,3 ,3 ,"","","","",1 3 ,19 23 ,9 11 ,29 ,37 ,78%
Ognjen VRANJES 6 ,"32'14"" ","","",4 ,"",1 ,1 ,3 ,"",1 ,"",2 ,"","",1 ,"",1 2 ,10 14 ,2 2 ,13 ,18 ,72%
Edin VISCA 19 ,"9'01"" ","","","","","","","","","","","","",1 ,"",1 ,0 1 ,1 3 ,1 1 ,2 ,5 ,40%
Sejad SALIHOVIC 23 ,"14'05"" ","","",1 ,"",1 ,1 ,"",2 ,"","","","","",2 ,"",1 1 ,5 6 ,1 1 ,7 ,8 ,88%
Total passes received ,"","",8 ,41 ,66 ,42 ,88 ,78 ,21 ,24 ,54 ,61 ,32 ,14 ,6 ,8 ,48 82 ,347 416 ,148 172 ,543 ,670 ,81%
"","","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,"",12 ,3 ,4 ,5 ,6 ,7 ,14 ,15 ,16 ,21 ,23 ,2 ,9 ,10 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Alireza HAGHIGHI 12 ,"96'02"" ","","","","",3 ,"","","",1 ,3 ,1 ,"",1 ,"","",4 10 ,5 5 ,0 0 ,9 ,15 ,60%
Ehsan HAJI SAFI 3 ,"65'23"" ","","","","","",1 ,3 ,2 ,"","",4 ,2 ,"","","",1 5 ,6 10 ,5 10 ,12 ,25 ,48%
Jalal HOSSEINI 4 ,"96'02"" ","","","","",4 ,4 ,"",1 ,5 ,"","",2 ,"","",1 ,1 3 ,13 15 ,3 4 ,17 ,22 ,77%
Amirhossein SADEGHI 5 ,"96'02"" ","",2 ,1 ,5 ,"",1 ,1 ,4 ,"","",1 ,9 ,3 ,1 ,"",3 3 ,18 22 ,7 9 ,28 ,34 ,82%
Javad NEKOUNAM 6 ,"96'02"" ","","",3 ,"",3 ,"",2 ,5 ,2 ,1 ,1 ,5 ,1 ,2 ,1 ,3 3 ,20 26 ,3 9 ,26 ,38 ,68%
Masoud SHOJAEI 7 ,"48'01"" ","","",1 ,"",1 ,"","",1 ,2 ,1 ,"",1 ,"","","",2 3 ,3 8 ,2 3 ,7 ,14 ,50%
Andranik TIMOTIAN 14 ,"96'02"" ","","","",1 ,1 ,7 ,3 ,"",14 ,5 ,2 ,1 ,2 ,2 ,"",3 8 ,19 27 ,16 18 ,38 ,53 ,72%
Pejman MONTAZERI 15 ,"96'02"" ","",1 ,1 ,6 ,2 ,2 ,3 ,12 ,"",5 ,4 ,2 ,6 ,"",2 ,2 6 ,31 37 ,13 15 ,46 ,58 ,79%
Reza GHOOCHANNEJAD 16 ,"96'02"" ","","","","","",2 ,1 ,2 ,3 ,"",1 ,"","",2 ,2 ,0 1 ,7 12 ,6 10 ,13 ,23 ,57%
Ashkan DEJAGAH 21 ,"70'18"" ","","",1 ,"","",3 ,3 ,1 ,1 ,2 ,"","",2 ,1 ,"",1 5 ,10 16 ,3 6 ,14 ,27 ,52%
Mehrdad POOLADI 23 ,"96'02"" ","",2 ,11 ,"",3 ,2 ,1 ,"",1 ,2 ,8 ,"",1 ,1 ,1 ,6 8 ,22 30 ,5 7 ,33 ,45 ,73%
Khosro HEYDARI 2 ,"48'00"" ","","","","","",1 ,"",4 ,6 ,3 ,2 ,1 ,"",2 ,1 ,4 8 ,8 12 ,8 8 ,20 ,28 ,71%
Alireza JAHAN BAKHSH 9 ,"30'39"" ","","","","",1 ,3 ,"",1 ,1 ,"",1 ,"",1 ,"","",0 0 ,5 7 ,3 5 ,8 ,12 ,67%
Karim ANSARI FARD 10 ,"25'44"" ","","","","","",1 ,"","","","","",1 ,3 ,"","",0 0 ,3 3 ,2 2 ,5 ,5 ,100%
Total passes received ,"","",5 ,18 ,12 ,18 ,27 ,17 ,33 ,36 ,22 ,25 ,24 ,20 ,11 ,8 ,30 63 ,170 230 ,76 106 ,276 ,399 ,69%
