From ,TP ,"",1 ,3 ,4 ,5 ,7 ,8 ,13 ,14 ,15 ,19 ,23 ,2 ,11 ,PC ,PA PC ,"",PA PC ,PA PC ,"",PA ,%
Tim HOWARD 1 ,"95'03"" ","","",6 ,1 ,6 ,3 ,2 ,5 ,2 ,2 ,1 ,3 ,"","",10 ,17 18 ,"",18 3 ,3 31 ,"",38 ,82%
Omar GONZALEZ 3 ,"95'03"" ","",4 ,"",1 ,5 ,1 ,3 ,3 ,"",3 ,2 ,3 ,1 ,"",5 ,12 19 ,"",24 2 ,4 26 ,"",40 ,65%
Michael BRADLEY 4 ,"95'03"" ","",1 ,3 ,"",1 ,7 ,5 ,6 ,6 ,13 ,6 ,3 ,"",1 ,9 ,12 26 ,"",30 17 ,19 52 ,"",61 ,85%
Matt BESLER 5 ,"95'03"" ","",5 ,5 ,4 ,"",7 ,2 ,3 ,"",5 ,"","","",1 ,3 ,6 25 ,"",27 4 ,5 32 ,"",38 ,84%
DaMarcus BEASLEY 7 ,"95'03"" ","",1 ,1 ,8 ,7 ,"",4 ,1 ,1 ,5 ,6 ,"","",3 ,1 ,1 27 ,"",31 9 ,11 37 ,"",43 ,86%
Clint DEMPSEY 8 ,"95'03"" ","","",1 ,8 ,1 ,"","",2 ,2 ,1 ,1 ,"",2 ,1 ,0 ,1 8 ,"",11 11 ,15 19 ,"",27 ,70%
Jermaine JONES 13 ,"95'03"" ","",1 ,1 ,3 ,"",1 ,7 ,"",1 ,2 ,5 ,6 ,"","",2 ,3 14 ,"",17 11 ,16 27 ,"",36 ,75%
Brad DAVIS 14 ,"59'37"" ","","","",4 ,2 ,4 ,1 ,1 ,"",3 ,"",4 ,"","",0 ,1 11 ,"",13 8 ,10 19 ,"",24 ,79%
Kyle BECKERMAN 15 ,"95'03"" ","",1 ,8 ,14 ,6 ,4 ,1 ,3 ,"","",5 ,4 ,"",1 ,6 ,6 28 ,"",30 13 ,14 47 ,"",50 ,94%
Graham ZUSI 19 ,"84'04"" ","","",3 ,8 ,1 ,4 ,1 ,4 ,2 ,4 ,"",3 ,"","",3 ,6 13 ,"",18 14 ,17 30 ,"",41 ,73%
Fabian JOHNSON 23 ,"95'03"" ","","",4 ,3 ,"","",6 ,10 ,1 ,3 ,10 ,"","","",0 ,1 24 ,"",33 13 ,15 37 ,"",49 ,76%
DeAndre YEDLIN 2 ,"10'59"" ","","","","","","","",2 ,"","","","","","",0 ,0 2 ,"",3 0 ,0 2 ,"",3 ,67%
Alejandro BEDOYA 11 ,"35'27"" ","","","",1 ,1 ,1 ,1 ,"","","","","","","",0 ,0 2 ,"",6 2 ,2 4 ,"",8 ,50%
Total passes received ,"","",13 ,32 ,55 ,30 ,32 ,33 ,40 ,15 ,41 ,36 ,26 ,3 ,7 ,39 ,66 217 ,"",261 107 ,131 363 ,"",458 ,79%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"","",Total
From ,TP ,"",1 ,4 ,5 ,7 ,8 ,10 ,13 ,16 ,17 ,18 ,20 ,9 ,11 ,19 ,PC PA ,"",PC PA ,PC PA ,"",PC ,PA %
