From ,TP ,"",23 ,4 ,5 ,6 ,10 ,11 ,12 ,13 ,14 ,18 ,20 ,7 ,9 ,15 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Rais MBOLHI 23 ,"95'09"" ","","",5 ,4 ,"","","","",2 ,"",2 ,"","","","",7 27 ,5 5 ,1 1 ,13 ,33 ,39%
Esseid BELKALEM 4 ,"95'09"" ","",1 ,"",8 ,1 ,3 ,3 ,4 ,1 ,4 ,"",3 ,"","","",5 11 ,20 25 ,3 6 ,28 ,42 ,67%
Rafik HALLICHE 5 ,"95'09"" ","",2 ,8 ,"",10 ,1 ,"",4 ,"",7 ,1 ,1 ,"","","",5 8 ,26 31 ,3 4 ,34 ,43 ,79%
Djamel MESBAH 6 ,"95'09"" ","","",1 ,6 ,"",3 ,9 ,4 ,2 ,10 ,7 ,"",3 ,"","",2 5 ,36 43 ,7 9 ,45 ,57 ,79%
Sofiane FEGHOULI 10 ,"95'09"" ","","",1 ,"",2 ,"",4 ,4 ,2 ,5 ,3 ,5 ,1 ,"","",1 2 ,17 21 ,9 12 ,27 ,35 ,77%
Yacine BRAHIMI 11 ,"71'42"" ","","",1 ,1 ,4 ,7 ,"",1 ,4 ,4 ,2 ,2 ,"","","",4 5 ,16 24 ,6 9 ,26 ,38 ,68%
Carl MEDJANI 12 ,"95'09"" ","","",3 ,5 ,4 ,4 ,3 ,"",2 ,3 ,2 ,4 ,"",1 ,"",1 6 ,21 29 ,9 12 ,31 ,47 ,66%
Islam SLIMANI 13 ,"91'01"" ","","","","",2 ,3 ,4 ,1 ,"",2 ,1 ,"",1 ,"","",1 2 ,7 9 ,6 11 ,14 ,22 ,64%
Nabil BENTALEB 14 ,"95'09"" ","",1 ,3 ,3 ,8 ,6 ,8 ,4 ,7 ,"",11 ,2 ,2 ,"","",6 9 ,35 41 ,14 17 ,55 ,67 ,82%
Abdelmoumene DJABOU 18 ,"77'09"" ","","","","",1 ,2 ,3 ,1 ,2 ,6 ,"","","","","",0 2 ,11 17 ,4 9 ,15 ,28 ,54%
