From ,TP ,"",1 ,2 ,3 ,6 ,7 ,8 ,9 ,10 ,11 ,18 ,21 ,13 ,15 ,19 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
David OSPINA 1 ,"94'06"" ","","",5 ,3 ,2 ,1 ,1 ,"","","",1 ,9 ,"","","",12 24 ,10 10 ,0 0 ,"",22 ,34 ,65%
Cristian ZAPATA 2 ,"94'06"" ","",1 ,"",10 ,"",1 ,3 ,1 ,4 ,2 ,14 ,4 ,"",1 ,"",7 8 ,26 27 ,8 9 ,"",41 ,44 ,93%
Mario YEPES 3 ,"94'06"" ","",2 ,9 ,"",4 ,7 ,3 ,2 ,1 ,2 ,1 ,"",1 ,"","",0 2 ,26 28 ,6 7 ,"",32 ,37 ,86%
Carlos SANCHEZ 6 ,"94'06"" ","",1 ,3 ,3 ,"",3 ,4 ,2 ,"",2 ,5 ,"","","","",4 5 ,17 21 ,2 5 ,"",23 ,31 ,74%
Pablo ARMERO 7 ,"94'06"" ","",2 ,1 ,1 ,3 ,"",8 ,2 ,11 ,9 ,1 ,5 ,"","",2 ,4 9 ,26 29 ,15 17 ,"",45 ,55 ,82%
Abel AGUILAR 8 ,"94'06"" ","","",4 ,1 ,4 ,6 ,"",3 ,12 ,8 ,8 ,2 ,1 ,"","",4 4 ,30 37 ,15 18 ,"",49 ,59 ,83%
Teofilo GUTIERREZ 9 ,"68'26"" ","","","",1 ,1 ,"",3 ,"",2 ,2 ,2 ,4 ,"","","",1 1 ,10 14 ,4 10 ,"",15 ,25 ,60%
James RODRIGUEZ 10 ,"85'34"" ","","",1 ,4 ,1 ,5 ,7 ,1 ,"",3 ,4 ,2 ,"","","",4 7 ,15 22 ,9 14 ,"",28 ,43 ,65%
Juan CUADRADO 11 ,"81'32"" ","",1 ,1 ,2 ,3 ,5 ,7 ,4 ,"","",6 ,"","","","",2 8 ,15 18 ,12 13 ,"",29 ,39 ,74%
Juan ZUNIGA 18 ,"94'06"" ","",1 ,6 ,"",3 ,"",7 ,1 ,4 ,8 ,"",3 ,1 ,1 ,"",2 10 ,23 36 ,10 12 ,"",35 ,58 ,60%
Jackson MARTINEZ 21 ,"94'06"" ","","","","","",4 ,1 ,3 ,4 ,1 ,"","","","",1 ,1 2 ,8 14 ,5 12 ,"",14 ,28 ,50%
Fredy GUARIN 13 ,"12'34"" ","","","","","",1 ,"","","","",1 ,"","","","",1 2 ,1 1 ,0 0 ,"",2 ,3 ,67%
Alexander MEJIA 15 ,"25'40"" ","","","","",1 ,"","","","",1 ,1 ,"","","","",0 0 ,0 1 ,3 4 ,"",3 ,5 ,60%
Adrian RAMOS 19 ,"8'32"" ","","","","","","","","","","","",1 ,"","","",0 0 ,1 1 ,0 0 ,"",1 ,1 ,100%
Total passes received ,"","",8 ,30 ,25 ,22 ,33 ,44 ,19 ,38 ,38 ,44 ,30 ,3 ,2 ,3 ,42 82 ,208 259 ,89 121 ,"",339 ,462 ,73%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"","",Total,""
From ,TP ,"",1 ,3 ,6 ,7 ,10 ,13 ,16 ,17 ,20 ,21 ,22 ,8 ,11 ,18 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Fernando MUSLERA 1 ,"94'06"" ","","",1 ,4 ,2 ,"",3 ,"","",1 ,1 ,1 ,"",1 ,"",10 17 ,4 4 ,0 0 ,"",14 ,21 ,67%
Diego GODIN 3 ,"94'06"" ","","","","",4 ,"",5 ,2 ,1 ,1 ,1 ,13 ,"",1 ,1 ,2 3 ,23 28 ,4 4 ,"",29 ,35 ,83%
