From ,TP ,1 ,2 ,4 ,5 ,7 ,9 ,10 ,14 ,16 ,17 ,22 ,6 ,18 ,23 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Sergio ROMERO 1 ,"130'01"" ","",6 ,1 ,"",1 ,"","",6 ,1 ,6 ,"","","","",3 10 ,"",16 16 ,2 2 ,21 ,28 ,75%
Ezequiel GARAY 2 ,"130'01"" ",1 ,"","",10 ,3 ,"","",14 ,17 ,18 ,3 ,1 ,2 ,3 ,12 13 ,"",50 54 ,10 12 ,72 ,79 ,91%
Pablo ZABALETA 4 ,"130'01"" ",1 ,2 ,"",5 ,17 ,2 ,5 ,4 ,1 ,15 ,8 ,"","","",5 8 ,"",34 40 ,21 23 ,60 ,71 ,85%
Fernando GAGO 5 ,"110'02"" ","",5 ,17 ,"",15 ,2 ,13 ,9 ,3 ,3 ,3 ,"",1 ,"",7 12 ,"",53 63 ,11 13 ,71 ,88 ,81%
Angel DI MARIA 7 ,"130'01"" ","",1 ,4 ,7 ,"",1 ,12 ,6 ,7 ,2 ,1 ,1 ,2 ,1 ,7 14 ,"",27 48 ,11 19 ,45 ,81 ,56%
Gonzalo HIGUAIN 9 ,"130'01"" ","","",2 ,1 ,5 ,"",4 ,"",1 ,"",1 ,"",1 ,"",2 2 ,"",8 15 ,5 6 ,15 ,23 ,65%
Lionel MESSI 10 ,"130'01"" ","",1 ,1 ,9 ,12 ,2 ,"",3 ,3 ,"",5 ,1 ,4 ,"",2 4 ,"",34 51 ,5 13 ,41 ,68 ,60%
Javier MASCHERANO 14 ,"130'01"" ","",9 ,6 ,18 ,9 ,5 ,9 ,"",12 ,14 ,1 ,1 ,1 ,1 ,13 21 ,"",68 72 ,5 8 ,86 ,101 ,85%
Marcos ROJO 16 ,"108'55"" ","",13 ,"",4 ,12 ,5 ,4 ,10 ,"","",8 ,"",2 ,"",5 11 ,"",40 50 ,13 18 ,58 ,79 ,73%
Federico FERNANDEZ 17 ,"130'01"" ",5 ,13 ,11 ,10 ,3 ,3 ,"",15 ,2 ,"",3 ,4 ,"","",7 12 ,"",50 55 ,12 12 ,69 ,79 ,87%
Ezequiel LAVEZZI 22 ,"73'33"" ","",1 ,2 ,6 ,"",1 ,2 ,4 ,5 ,"","","","","",1 6 ,"",16 20 ,4 8 ,21 ,34 ,62%
Lucas BIGLIA 6 ,"20'00"" ","",1 ,2 ,"",4 ,"",1 ,1 ,"",1 ,"","",1 ,1 ,4 4 ,"",8 8 ,0 1 ,12 ,13 ,92%
Rodrigo PALACIO 18 ,"56'28"" ","","","",1 ,"",1 ,2 ,"","","","",1 ,"",1 ,0 0 ,"",5 9 ,1 3 ,6 ,12 ,50%
Jose Maria BASANTA 23 ,"21'06"" ","",4 ,"","",1 ,1 ,"",2 ,"","","",1 ,1 ,"",1 2 ,"",6 6 ,3 4 ,10 ,12 ,83%
Total passes received ,"",7 ,56 ,46 ,71 ,82 ,23 ,52 ,74 ,52 ,59 ,33 ,10 ,15 ,7 ,69 119 ,"",415 507 ,103 142 ,587 ,768 ,76%
"","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,1 ,2 ,8 ,10 ,11 ,13 ,18 ,19 ,20 ,22 ,23 ,9 ,15 ,16 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Diego BENAGLIO 1 ,"130'01"" ","",2 ,1 ,3 ,"",1 ,1 ,"",3 ,2 ,3 ,"","","",6 25 ,"",10 10 ,0 1 ,16 ,36 ,44%
Stephan LICHTSTEINER 2 ,"130'01"" ",1 ,"",2 ,5 ,3 ,"",1 ,2 ,"",5 ,8 ,1 ,"",3 ,2 5 ,"",21 28 ,8 11 ,31 ,44 ,70%
Gokhan INLER 8 ,"130'01"" ","",3 ,"","",4 ,10 ,8 ,1 ,1 ,3 ,10 ,3 ,"",2 ,4 10 ,"",23 36 ,18 19 ,45 ,65 ,69%
Granit XHAKA 10 ,"65'26"" ","",5 ,1 ,"","","","","","",2 ,4 ,"","","",0 1 ,"",7 11 ,5 8 ,12 ,20 ,60%
Valon BEHRAMI 11 ,"130'01"" ","",1 ,6 ,2 ,"","",5 ,2 ,4 ,3 ,"","",1 ,1 ,1 1 ,"",13 18 ,11 17 ,25 ,36 ,69%
Ricardo RODRIGUEZ 13 ,"130'01"" ",1 ,1 ,9 ,1 ,5 ,"",5 ,2 ,4 ,"",5 ,3 ,"",3 ,3 7 ,"",23 30 ,13 18 ,39 ,55 ,71%
Admir MEHMEDI 18 ,"117'46"" ","","",8 ,1 ,"",5 ,"",1 ,1 ,"",15 ,2 ,"",5 ,0 0 ,"",19 32 ,19 29 ,38 ,61 ,62%
Josip DRMIC 19 ,"81'45"" ","","","",1 ,"","","","","","",3 ,"","","",0 0 ,"",2 3 ,2 5 ,4 ,8 ,50%
Johan DJOUROU 20 ,"130'01"" ",2 ,"",3 ,2 ,2 ,10 ,2 ,"","",2 ,3 ,1 ,"","",2 3 ,"",18 23 ,7 7 ,27 ,33 ,82%
Fabian SCHAER 22 ,"130'01"" ","",5 ,4 ,1 ,1 ,1 ,1 ,2 ,"","",5 ,3 ,"","",3 8 ,"",18 22 ,2 5 ,23 ,35 ,66%
Xherdan SHAQIRI 23 ,"130'01"" ","",6 ,6 ,2 ,2 ,4 ,16 ,2 ,"","","",1 ,2 ,3 ,1 5 ,"",19 26 ,24 27 ,44 ,58 ,76%
Haris SEFEROVIC 9 ,"48'16"" ","","",3 ,"",1 ,1 ,3 ,"","",1 ,2 ,"","",1 ,1 1 ,"",4 5 ,7 7 ,12 ,13 ,92%
Blerim DZEMAILI 15 ,"12'15"" ","","",1 ,"","","","","","","","",1 ,"","",0 0 ,"",0 0 ,2 3 ,2 ,3 ,67%
Gelson FERNANDES 16 ,"64'35"" ","",3 ,2 ,"",2 ,"",4 ,"","",1 ,4 ,1 ,"","",0 1 ,"",8 9 ,9 12 ,17 ,22 ,77%
Total passes received ,"",4 ,26 ,46 ,18 ,20 ,32 ,46 ,12 ,13 ,19 ,62 ,16 ,3 ,18 ,23 67 ,"",185 253 ,127 169 ,335 ,489 ,69%
