From ,TP ,1 ,2 ,4 ,5 ,6 ,7 ,8 ,10 ,14 ,15 ,17 ,9 ,11 ,22 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Thibaut COURTOIS 1 ,"129'19"" ","",2 ,5 ,2 ,2 ,1 ,1 ,"","",3 ,1 ,"","","",4 19 ,13 13 ,0 0 ,17 ,32 ,53%
Toby ALDERWEIRELD 2 ,"129'19"" ",1 ,"",1 ,3 ,4 ,6 ,10 ,2 ,6 ,7 ,2 ,1 ,6 ,"",5 6 ,28 42 ,16 20 ,49 ,68 ,72%
Vincent KOMPANY 4 ,"129'19"" ",3 ,"","",9 ,5 ,4 ,5 ,5 ,"",10 ,2 ,1 ,1 ,"",8 13 ,27 31 ,10 11 ,45 ,55 ,82%
Jan VERTONGHEN 5 ,"129'19"" ",1 ,"",8 ,"",6 ,18 ,4 ,12 ,1 ,1 ,2 ,"","","",4 7 ,36 47 ,13 18 ,53 ,72 ,74%
Axel WITSEL 6 ,"129'19"" ",1 ,6 ,5 ,7 ,"",5 ,4 ,8 ,1 ,7 ,2 ,"",4 ,"",5 5 ,31 35 ,14 15 ,50 ,55 ,91%
Kevin DE BRUYNE 7 ,"129'19"" ",1 ,6 ,2 ,10 ,3 ,"",3 ,13 ,4 ,"",5 ,4 ,3 ,"",4 13 ,37 43 ,13 16 ,54 ,72 ,75%
Marouane FELLAINI 8 ,"129'19"" ","",6 ,3 ,4 ,1 ,4 ,"",6 ,4 ,1 ,5 ,2 ,3 ,1 ,2 3 ,23 30 ,15 17 ,40 ,50 ,80%
Eden HAZARD 10 ,"119'06"" ","",3 ,1 ,8 ,7 ,10 ,5 ,"",3 ,"",5 ,1 ,2 ,"",3 3 ,29 37 ,13 17 ,45 ,57 ,79%
Dries MERTENS 14 ,"62'59"" ","",5 ,"","",1 ,1 ,4 ,2 ,"","",3 ,"","","",3 7 ,8 15 ,5 10 ,16 ,32 ,50%
Daniel VAN BUYTEN 15 ,"129'19"" ",2 ,11 ,8 ,5 ,5 ,3 ,2 ,2 ,3 ,"",1 ,"",2 ,"",6 10 ,32 34 ,6 8 ,44 ,52 ,85%
Divock ORIGI 17 ,"96'08"" ","",2 ,"","",3 ,2 ,"",2 ,3 ,1 ,"","",2 ,"",2 2 ,10 14 ,3 5 ,15 ,21 ,71%
Romelu LUKAKU 9 ,"33'11"" ","",1 ,"",1 ,"","","",3 ,"","","","",2 ,"",1 1 ,2 4 ,4 6 ,7 ,11 ,64%
Kevin MIRALLAS 11 ,"66'20"" ","",2 ,1 ,"","",3 ,4 ,1 ,"",1 ,1 ,2 ,"",1 ,3 4 ,10 17 ,3 5 ,16 ,26 ,62%
Nacer CHADLI 22 ,"10'13"" ","",1 ,"","","",1 ,1 ,"","","","","","","",0 0 ,1 1 ,2 3 ,3 ,4 ,75%
Total passes received ,"",9 ,45 ,34 ,49 ,37 ,58 ,43 ,56 ,25 ,31 ,29 ,11 ,25 ,2 ,50 93 ,287 363 ,117 151 ,454 ,607 ,75%
"","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,1 ,3 ,4 ,5 ,7 ,8 ,11 ,13 ,19 ,20 ,23 ,2 ,16 ,18 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Tim HOWARD 1 ,"129'19"" ","",12 ,7 ,17 ,3 ,"","",4 ,"",4 ,"","","","",9 13 ,36 36 ,2 2 ,47 ,51 ,92%
Omar GONZALEZ 3 ,"129'19"" ",7 ,"",15 ,1 ,"",5 ,"",7 ,10 ,9 ,2 ,6 ,1 ,2 ,10 12 ,38 48 ,17 18 ,65 ,78 ,83%
Michael BRADLEY 4 ,"129'19"" ",2 ,9 ,"",8 ,9 ,7 ,11 ,11 ,7 ,8 ,1 ,10 ,3 ,1 ,9 15 ,59 68 ,19 20 ,87 ,103 ,84%
Matt BESLER 5 ,"129'19"" ",5 ,11 ,8 ,"",13 ,3 ,6 ,1 ,"",10 ,"",1 ,"",1 ,6 9 ,39 44 ,14 17 ,59 ,70 ,84%
DaMarcus BEASLEY 7 ,"129'19"" ",3 ,5 ,3 ,9 ,"",3 ,15 ,9 ,"",11 ,"","",1 ,1 ,7 11 ,33 42 ,20 25 ,60 ,78 ,77%
Clint DEMPSEY 8 ,"129'19"" ","",1 ,18 ,1 ,4 ,"",2 ,3 ,2 ,2 ,"",1 ,1 ,"",0 2 ,16 22 ,19 22 ,35 ,46 ,76%
Alejandro BEDOYA 11 ,"112'51"" ","","",14 ,1 ,9 ,5 ,"",4 ,2 ,8 ,"",1 ,"",1 ,0 2 ,23 28 ,22 26 ,45 ,56 ,80%
Jermaine JONES 13 ,"129'19"" ",1 ,1 ,5 ,"",2 ,4 ,5 ,"",2 ,1 ,1 ,4 ,"",3 ,4 6 ,14 24 ,11 18 ,29 ,48 ,60%
Graham ZUSI 19 ,"74'58"" ","",4 ,2 ,1 ,"",2 ,1 ,1 ,"",1 ,"",8 ,"","",5 11 ,9 15 ,6 8 ,20 ,34 ,59%
Geoff CAMERON 20 ,"129'19"" ",2 ,10 ,8 ,7 ,10 ,12 ,2 ,5 ,1 ,"","",5 ,2 ,2 ,3 7 ,51 65 ,12 18 ,66 ,90 ,73%
