From ,TP ,"",1 ,2 ,3 ,4 ,5 ,9 ,10 ,11 ,15 ,20 ,21 ,17 ,19 ,23 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Jasper CILLESSEN 1 ,"128'24"" ","","",3 ,6 ,12 ,2 ,1 ,"",1 ,10 ,"","","","","",12 17 ,"",23 23 ,0 0 ,35 ,40 ,88%
Ron VLAAR 2 ,"129'09"" ","",6 ,"",27 ,24 ,5 ,2 ,2 ,2 ,8 ,4 ,"","",1 ,"",7 8 ,"",68 73 ,6 7 ,81 ,88 ,92%
Stefan DE VRIJ 3 ,"129'09"" ","",7 ,21 ,"",5 ,2 ,5 ,5 ,2 ,23 ,12 ,1 ,"","","",12 19 ,"",61 75 ,10 13 ,83 ,107 ,78%
Bruno MARTINS INDI 4 ,"112'32"" ","",4 ,21 ,5 ,"",18 ,2 ,25 ,4 ,2 ,5 ,2 ,1 ,"","",11 12 ,"",67 69 ,11 12 ,89 ,93 ,96%
Daley BLIND 5 ,"129'09"" ","",3 ,13 ,2 ,12 ,"",2 ,24 ,5 ,2 ,1 ,8 ,2 ,4 ,"",9 12 ,"",57 64 ,12 18 ,78 ,94 ,83%
Robin VAN PERSIE 9 ,"129'09"" ","","","","",1 ,4 ,"",4 ,4 ,2 ,2 ,1 ,2 ,"","",1 2 ,"",12 17 ,7 12 ,20 ,31 ,65%
Wesley SNEIJDER 10 ,"129'09"" ","",1 ,4 ,6 ,20 ,16 ,4 ,"",5 ,4 ,6 ,7 ,2 ,1 ,"",8 16 ,"",58 68 ,10 10 ,76 ,94 ,81%
Arjen ROBBEN 11 ,"129'09"" ","","",1 ,3 ,1 ,1 ,9 ,8 ,"",12 ,7 ,3 ,2 ,"","",6 10 ,"",34 46 ,7 12 ,47 ,68 ,69%
Dirk KUYT 15 ,"129'09"" ","",2 ,3 ,18 ,2 ,2 ,4 ,1 ,22 ,"",13 ,2 ,"",1 ,"",7 13 ,"",47 61 ,16 19 ,70 ,93 ,75%
Georginio WIJNALDUM 20 ,"129'09"" ","","",2 ,12 ,3 ,7 ,1 ,8 ,9 ,13 ,"",1 ,"","","",6 7 ,"",39 44 ,11 14 ,56 ,65 ,86%
Memphis DEPAY 21 ,"76'17"" ","","","","","",7 ,1 ,5 ,2 ,4 ,1 ,"","","","",0 0 ,"",11 13 ,9 13 ,20 ,26 ,77%
Jeremain LENS 17 ,"52'52"" ","","",1 ,"",1 ,2 ,1 ,4 ,2 ,"","","","","","",2 3 ,"",7 8 ,2 5 ,11 ,16 ,69%
Klaas Jan HUNTELAAR 19 ,"16'37"" ","","","","","",1 ,"",1 ,1 ,"","","",2 ,"","",1 1 ,"",0 1 ,4 4 ,5 ,6 ,83%
Tim KRUL 23 ,"46"" ","","","","","","","","","","","","","","","",0 0 ,"",0 0 ,0 0 ,0 ,0 ,0%
Total passes received ,"","",23 ,69 ,79 ,81 ,67 ,32 ,87 ,59 ,80 ,51 ,25 ,11 ,7 ,0 ,82 120 ,"",484 562 ,105 139 ,671 ,821 ,82%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,"",1 ,2 ,3 ,4 ,5 ,7 ,9 ,10 ,15 ,16 ,17 ,8 ,21 ,22 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Keylor NAVAS 1 ,"129'09"" ","","",17 ,"",3 ,"",1 ,"",3 ,"","","",1 ,1 ,1 ,10 25 ,"",14 15 ,3 3 ,27 ,43 ,63%
Johnny ACOSTA 2 ,"129'09"" ","",1 ,"",16 ,3 ,1 ,1 ,4 ,5 ,1 ,3 ,3 ,"",1 ,1 ,5 9 ,"",28 34 ,7 8 ,40 ,51 ,78%
Giancarlo GONZALEZ 3 ,"129'09"" ","",2 ,6 ,"",10 ,4 ,1 ,1 ,5 ,3 ,"",2 ,"",3 ,2 ,4 8 ,"",30 36 ,5 8 ,39 ,52 ,75%
Michael UMANA 4 ,"129'09"" ","",3 ,5 ,9 ,"",2 ,1 ,1 ,1 ,5 ,"","","","","",3 4 ,"",19 25 ,5 7 ,27 ,36 ,75%
Celso BORGES 5 ,"129'09"" ","","",1 ,1 ,2 ,"",4 ,1 ,6 ,1 ,"",3 ,1 ,5 ,1 ,2 2 ,"",11 17 ,13 16 ,26 ,35 ,74%
Christian BOLANOS 7 ,"129'09"" ","","","",1 ,2 ,1 ,"",1 ,4 ,2 ,"",3 ,"",3 ,1 ,3 10 ,"",8 12 ,7 11 ,18 ,33 ,55%
Joel CAMPBELL 9 ,"66'45"" ","","",2 ,1 ,"","",2 ,"",3 ,1 ,3 ,1 ,"","","",0 0 ,"",6 13 ,7 7 ,13 ,20 ,65%
Bryan RUIZ 10 ,"129'09"" ","","",2 ,"",2 ,7 ,6 ,2 ,"",4 ,2 ,4 ,2 ,3 ,"",2 4 ,"",14 17 ,18 21 ,34 ,42 ,81%
Junior DIAZ 15 ,"129'09"" ","","",2 ,1 ,3 ,2 ,7 ,2 ,4 ,"","",2 ,"",1 ,"",3 8 ,"",15 30 ,6 10 ,24 ,48 ,50%
Cristian GAMBOA 16 ,"79'20"" ","","",2 ,1 ,"","","",6 ,6 ,"","",2 ,"","","",1 4 ,"",9 13 ,7 10 ,17 ,27 ,63%
Yeltsin TEJEDA 17 ,"101'46"" ","","",4 ,1 ,1 ,2 ,2 ,3 ,1 ,1 ,5 ,"","","","",2 5 ,"",15 19 ,3 4 ,20 ,28 ,71%
Dave MYRIE 8 ,"49'49"" ","","","","","",1 ,"","",2 ,1 ,"",1 ,"",1 ,1 ,0 0 ,"",5 6 ,2 4 ,7 ,10 ,70%
Marcos URENA 21 ,"62'24"" ","","","",1 ,"",1 ,1 ,"",2 ,"",1 ,"",1 ,"",1 ,1 1 ,"",5 12 ,2 5 ,8 ,18 ,44%
Jose CUBERO 22 ,"27'23"" ","","","","","","",2 ,"",3 ,"","","",1 ,"","",0 2 ,"",3 8 ,3 3 ,6 ,13 ,46%
Total passes received ,"","",6 ,41 ,32 ,26 ,21 ,28 ,21 ,45 ,19 ,14 ,21 ,6 ,18 ,8 ,36 82 ,"",182 257 ,88 117 ,306 ,456 ,67%
