From ,TP ,"",13 ,2 ,4 ,6 ,7 ,10 ,15 ,18 ,19 ,22 ,23 ,3 ,8 ,14 ,PC ,PA PC ,PA PC ,"",PA ,PC ,PA ,%
Guillermo OCHOA 13 ,"96'07"" ","","",6 ,6 ,1 ,1 ,1 ,2 ,"","",1 ,"","","",2 ,9 ,11 9 ,9 2 ,"",2 ,20 ,22 ,91%
Francisco RODRIGUEZ 2 ,"96'07"" ","",2 ,"",17 ,7 ,1 ,3 ,12 ,1 ,2 ,9 ,16 ,"",1 ,"",6 ,11 51 ,62 14 ,"",15 ,71 ,88 ,81%
Rafael MARQUEZ 4 ,"96'07"" ","",2 ,19 ,"",5 ,4 ,2 ,12 ,4 ,2 ,"",6 ,"",1 ,"",9 ,14 37 ,40 11 ,"",13 ,57 ,67 ,85%
Hector HERRERA 6 ,"93'25"" ","","",7 ,2 ,"",3 ,4 ,1 ,2 ,6 ,10 ,2 ,"",2 ,1 ,2 ,4 28 ,38 10 ,"",15 ,40 ,57 ,70%
Miguel LAYUN 7 ,"96'07"" ","",1 ,1 ,1 ,4 ,"",1 ,13 ,4 ,1 ,"",6 ,"",3 ,1 ,3 ,6 29 ,34 4 ,"",6 ,36 ,46 ,78%
Giovani DOS SANTOS 10 ,"96'07"" ","","",3 ,2 ,6 ,2 ,"",1 ,1 ,4 ,4 ,4 ,"",4 ,1 ,2 ,4 13 ,18 17 ,"",19 ,32 ,41 ,78%
Hector MORENO 15 ,"96'07"" ","",1 ,9 ,14 ,3 ,9 ,3 ,"",9 ,1 ,1 ,10 ,"",5 ,1 ,6 ,12 43 ,57 17 ,"",17 ,66 ,86 ,77%
Andres GUARDADO 18 ,"70'16"" ","",1 ,3 ,"",2 ,7 ,4 ,5 ,"","",1 ,5 ,"","","",1 ,4 25 ,28 2 ,"",2 ,28 ,34 ,82%
Oribe PERALTA 19 ,"75'07"" ","","",1 ,"",2 ,"",5 ,"",3 ,"",1 ,2 ,"","","",1 ,1 4 ,5 9 ,"",12 ,14 ,18 ,78%
Paul AGUILAR 22 ,"96'07"" ","","",10 ,2 ,10 ,"",7 ,5 ,1 ,"","",2 ,"","",1 ,3 ,6 21 ,28 14 ,"",15 ,38 ,49 ,78%
Jose VAZQUEZ 23 ,"96'07"" ","","",11 ,6 ,11 ,4 ,3 ,14 ,7 ,"",1 ,"","",4 ,"",1 ,1 40 ,42 20 ,"",21 ,61 ,64 ,95%
Carlos SALCIDO 3 ,"2'42"" ","","","","","","","","","","","","","","","",0 ,0 0 ,0 0 ,"",0 ,0 ,0 ,0%
Marco FABIAN 8 ,"25'51"" ","","",1 ,"",3 ,2 ,4 ,4 ,"","","",2 ,"","",1 ,2 ,2 10 ,12 5 ,"",6 ,17 ,20 ,85%
Javier HERNANDEZ 14 ,"21'00"" ","","","","","","",2 ,"","","",1 ,"","",1 ,"",0 ,0 3 ,5 1 ,"",1 ,4 ,6 ,67%
Total passes received ,"","",7 ,71 ,50 ,54 ,33 ,39 ,69 ,32 ,16 ,29 ,55 ,0 ,21 ,8 ,45 ,76 313 ,378 126 ,"",144 ,484 ,598 ,81%
"","","",To,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"","",Total,"",""
