From ,TP ,"",1 ,2 ,4 ,7 ,8 ,10 ,11 ,17 ,18 ,20 ,21 ,9 ,15 ,16 ,PC PA ,"",PC PA ,PC PA ,"",PC ,PA ,%
Claudio BRAVO 1 ,"95'44"" ","","",5 ,"",1 ,"",1 ,3 ,7 ,13 ,1 ,4 ,"","","",15 27 ,"",20 20 ,0 0 ,"",35 ,47 ,74%
Eugenio MENA 2 ,"95'44"" ","","","",1 ,4 ,6 ,9 ,10 ,1 ,15 ,4 ,8 ,1 ,5 ,4 ,3 7 ,"",47 54 ,18 22 ,"",68 ,83 ,82%
Mauricio ISLA 4 ,"95'44"" ","",2 ,"","",17 ,8 ,3 ,2 ,16 ,6 ,8 ,8 ,"","",2 ,7 8 ,"",47 55 ,18 24 ,"",72 ,87 ,83%
Alexis SANCHEZ 7 ,"95'44"" ","","",3 ,4 ,"",4 ,3 ,3 ,3 ,4 ,4 ,2 ,"",1 ,6 ,2 3 ,"",21 28 ,14 15 ,"",37 ,46 ,80%
Arturo VIDAL 8 ,"60'54"" ","","",4 ,7 ,1 ,"",7 ,2 ,5 ,3 ,3 ,3 ,"","","",7 9 ,"",23 26 ,5 9 ,"",35 ,44 ,80%
Jorge VALDIVIA 10 ,"69'23"" ","","",4 ,4 ,7 ,3 ,"",2 ,1 ,3 ,3 ,4 ,"","","",0 0 ,"",27 32 ,4 7 ,"",31 ,39 ,79%
Eduardo VARGAS 11 ,"88'51"" ","","",8 ,2 ,3 ,4 ,4 ,"",1 ,"",3 ,1 ,"",2 ,1 ,1 4 ,"",14 16 ,14 14 ,"",29 ,34 ,85%
Gary MEDEL 17 ,"95'44"" ","",16 ,2 ,20 ,5 ,"",2 ,"","",8 ,7 ,13 ,"","",3 ,13 13 ,"",59 59 ,4 4 ,"",76 ,76 ,100%
Gonzalo JARA 18 ,"95'44"" ","",12 ,21 ,2 ,"",5 ,2 ,2 ,6 ,"",9 ,16 ,"","",1 ,10 13 ,"",58 63 ,8 12 ,"",76 ,88 ,86%
Charles ARANGUIZ 20 ,"95'44"" ","","",4 ,6 ,4 ,3 ,9 ,6 ,9 ,4 ,"",8 ,"",1 ,3 ,8 10 ,"",34 38 ,15 18 ,"",57 ,66 ,86%
Marcelo DIAZ 21 ,"95'44"" ","","",11 ,12 ,5 ,8 ,1 ,3 ,12 ,13 ,8 ,"","","",2 ,13 16 ,"",48 51 ,14 17 ,"",75 ,84 ,89%
Mauricio PINILLA 9 ,"6'54"" ","","","","","","","","","","",1 ,"","","","",0 0 ,"",0 0 ,1 1 ,"",1 ,1 ,100%
Jean BEAUSEJOUR 15 ,"26'21"" ","","",3 ,"",1 ,"","","","","",1 ,"","","","",0 1 ,"",3 7 ,2 4 ,"",5 ,12 ,42%
Felipe GUTIERREZ 16 ,"34'51"" ","","",2 ,1 ,3 ,"","",2 ,2 ,1 ,4 ,1 ,"",2 ,"",1 2 ,"",12 14 ,5 6 ,"",18 ,22 ,82%
Total passes received ,"","",30 ,67 ,59 ,51 ,41 ,41 ,35 ,63 ,70 ,56 ,68 ,1 ,11 ,22 ,80 113 ,"",413 463 ,122 153 ,"",615 ,729 ,84%
"","","",To,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"","",Total,""
From ,TP ,"",1 ,2 ,3 ,4 ,5 ,6 ,7 ,11 ,15 ,22 ,23 ,10 ,14 ,19 ,PC PA ,"",PC PA ,PC PA ,"",PC ,PA ,%
Maty RYAN 1 ,"95'44"" ","","",3 ,9 ,2 ,2 ,5 ,"",2 ,1 ,2 ,1 ,3 ,"",1 ,17 20 ,"",14 14 ,0 0 ,"",31 ,34 ,91%
Ivan FRANJIC 2 ,"50'40"" ","",1 ,"","",3 ,1 ,"",5 ,"","",3 ,5 ,"","","",2 4 ,"",12 16 ,4 6 ,"",18 ,26 ,69%
Jason DAVIDSON 3 ,"95'44"" ","",1 ,"","",1 ,5 ,7 ,3 ,6 ,4 ,"",5 ,3 ,3 ,"",2 9 ,"",26 32 ,10 18 ,"",38 ,59 ,64%
Tim CAHILL 4 ,"95'44"" ","","",2 ,"","","","",7 ,1 ,2 ,"",6 ,1 ,3 ,1 ,0 0 ,"",16 19 ,7 8 ,"",23 ,27 ,85%
