From ,TP ,"",1 ,2 ,3 ,5 ,7 ,10 ,11 ,16 ,17 ,21 ,22 ,8 ,14 ,20 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Fernando MUSLERA 1 ,"97'00"" ","","",3 ,1 ,"",2 ,1 ,5 ,1 ,"",1 ,3 ,1 ,"","",14 20 ,3 4 ,1 1 ,18 ,25 ,72%
Diego LUGANO 2 ,"97'00"" ","",1 ,"",5 ,5 ,1 ,1 ,3 ,4 ,10 ,"",1 ,"",2 ,1 ,3 10 ,26 28 ,5 5 ,34 ,43 ,79%
Diego GODIN 3 ,"97'00"" ","",4 ,4 ,"",4 ,3 ,3 ,"",1 ,5 ,"",6 ,"",1 ,1 ,3 7 ,24 30 ,5 7 ,32 ,44 ,73%
Walter GARGANO 5 ,"61'56"" ","","",5 ,2 ,"",7 ,3 ,3 ,6 ,3 ,1 ,6 ,"","","",7 10 ,24 28 ,5 7 ,36 ,45 ,80%
Cristian RODRIGUEZ 7 ,"77'41"" ","",1 ,"",2 ,1 ,"",3 ,"","",5 ,1 ,12 ,"","","",1 2 ,14 21 ,10 10 ,25 ,33 ,76%
Diego FORLAN 10 ,"61'40"" ","","","",2 ,7 ,"","",1 ,2 ,2 ,"",4 ,"","","",0 2 ,12 16 ,6 8 ,18 ,26 ,69%
Cristhian STUANI 11 ,"97'00"" ","","","","",3 ,"",3 ,"",4 ,1 ,1 ,"","",2 ,2 ,0 1 ,8 17 ,8 10 ,16 ,28 ,57%
Maximiliano PEREIRA 16 ,"95'57"" ","","",12 ,4 ,3 ,1 ,1 ,6 ,"",3 ,1 ,"",1 ,5 ,6 ,0 3 ,33 46 ,10 15 ,43 ,64 ,67%
Egidio AREVALO 17 ,"97'00"" ","",1 ,7 ,7 ,6 ,3 ,2 ,"",8 ,"",2 ,6 ,"",6 ,5 ,6 6 ,40 46 ,7 11 ,53 ,63 ,84%
Edinson CAVANI 21 ,"97'00"" ","","","","",3 ,2 ,4 ,"","",2 ,"",5 ,1 ,"","",0 1 ,7 9 ,10 13 ,17 ,23 ,74%
