From ,TP ,1 ,2 ,3 ,4 ,5 ,6 ,8 ,10 ,11 ,14 ,19 ,9 ,12 ,18 ,PC PA ,PC PA ,PC PA ,"",PC ,PA ,%
Hugo LLORIS 1 ,"96'47"" ","",1 ,1 ,7 ,6 ,"",1 ,"","","","",1 ,1 ,"",5 7 ,13 14 ,0 0 ,"",18 ,21 ,86%
Mathieu DEBUCHY 2 ,"96'47"" ","","",1 ,12 ,"",5 ,14 ,1 ,5 ,2 ,3 ,1 ,2 ,6 ,2 5 ,25 31 ,25 27 ,"",52 ,63 ,83%
Patrice EVRA 3 ,"96'47"" ","","","","",8 ,7 ,8 ,3 ,4 ,21 ,2 ,1 ,2 ,2 ,2 6 ,27 31 ,29 31 ,"",58 ,68 ,85%
Raphael VARANE 4 ,"96'47"" ",5 ,6 ,1 ,"",17 ,12 ,2 ,1 ,"",3 ,2 ,"",4 ,"",10 10 ,37 43 ,6 7 ,"",53 ,60 ,88%
Mamadou SAKHO 5 ,"96'47"" ",3 ,2 ,11 ,7 ,"",12 ,7 ,2 ,3 ,14 ,1 ,1 ,7 ,6 ,7 8 ,60 64 ,9 10 ,"",76 ,82 ,93%
Yohan CABAYE 6 ,"68'35"" ","",8 ,6 ,5 ,6 ,"",4 ,5 ,4 ,13 ,20 ,"","",4 ,9 11 ,50 51 ,16 16 ,"",75 ,78 ,96%
Mathieu VALBUENA 8 ,"81'01"" ","",11 ,8 ,3 ,3 ,6 ,"",6 ,3 ,6 ,7 ,"","",3 ,6 12 ,31 39 ,19 23 ,"",56 ,74 ,76%
Karim BENZEMA 10 ,"96'47"" ","","",7 ,2 ,1 ,2 ,4 ,"",2 ,6 ,1 ,1 ,1 ,3 ,1 1 ,15 22 ,14 18 ,"",30 ,41 ,73%
Antoine GRIEZMANN 11 ,"96'47"" ","",3 ,4 ,1 ,1 ,3 ,3 ,5 ,"",6 ,1 ,1 ,"","",4 6 ,14 16 ,10 12 ,"",28 ,34 ,82%
Blaise MATUIDI 14 ,"96'47"" ","",2 ,15 ,1 ,12 ,11 ,9 ,12 ,7 ,"",4 ,"",7 ,1 ,1 1 ,56 60 ,24 26 ,"",81 ,87 ,93%
Paul POGBA 19 ,"59'54"" ","",5 ,3 ,4 ,5 ,11 ,5 ,2 ,2 ,6 ,"","","","",2 2 ,21 23 ,20 21 ,"",43 ,46 ,93%
Olivier GIROUD 9 ,"15'45"" ","",1 ,1 ,"","","","","","",1 ,"","","","",0 0 ,2 5 ,1 1 ,"",3 ,6 ,50%
