From ,TP ,"",1 ,4 ,5 ,7 ,8 ,11 ,13 ,15 ,19 ,20 ,23 ,2 ,3 ,18 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
Tim HOWARD 1 ,"97'35"" ","","","",10 ,"",1 ,1 ,1 ,2 ,2 ,5 ,2 ,"","",1 ,12 18 ,13 14 ,0 0 ,25 ,32 ,78%
Michael BRADLEY 4 ,"97'35"" ","","","",6 ,11 ,8 ,8 ,8 ,10 ,7 ,5 ,"",1 ,"",1 ,8 10 ,40 47 ,17 18 ,65 ,75 ,87%
Matt BESLER 5 ,"97'35"" ","",4 ,11 ,"",9 ,2 ,2 ,5 ,9 ,1 ,4 ,3 ,1 ,"","",5 6 ,31 33 ,15 18 ,51 ,57 ,89%
DaMarcus BEASLEY 7 ,"97'35"" ","",1 ,12 ,6 ,"",2 ,8 ,3 ,12 ,6 ,1 ,"","","","",0 0 ,37 43 ,14 18 ,51 ,61 ,84%
Clint DEMPSEY 8 ,"88'25"" ","","",7 ,"",3 ,"",4 ,1 ,6 ,3 ,"",2 ,"","","",2 2 ,7 10 ,17 18 ,26 ,30 ,87%
Alejandro BEDOYA 11 ,"73'28"" ","","",10 ,1 ,4 ,2 ,"",4 ,7 ,2 ,"",1 ,"","","",1 3 ,14 17 ,16 16 ,31 ,36 ,86%
Jermaine JONES 13 ,"97'35"" ","","",3 ,"",3 ,1 ,3 ,"",4 ,6 ,3 ,13 ,1 ,"","",7 10 ,21 29 ,9 11 ,37 ,50 ,74%
Kyle BECKERMAN 15 ,"97'35"" ","",1 ,9 ,11 ,11 ,5 ,6 ,8 ,"",3 ,4 ,5 ,1 ,"","",4 4 ,42 46 ,18 21 ,64 ,71 ,90%
Graham ZUSI 19 ,"92'55"" ","","",7 ,"",4 ,8 ,"",4 ,6 ,"",2 ,3 ,"","","",1 5 ,22 29 ,11 16 ,34 ,50 ,68%
Geoff CAMERON 20 ,"97'35"" ","","",5 ,5 ,1 ,1 ,"",3 ,4 ,2 ,"",7 ,1 ,"","",5 6 ,22 30 ,2 3 ,29 ,39 ,74%
Fabian JOHNSON 23 ,"97'35"" ","","",6 ,"","",3 ,"",9 ,2 ,7 ,4 ,"","","","",0 0 ,15 21 ,16 19 ,31 ,40 ,78%
DeAndre YEDLIN 2 ,"24'07"" ","","",1 ,"","",1 ,"",1 ,"","","",2 ,"","","",0 0 ,4 6 ,1 2 ,5 ,8 ,62%
Omar GONZALEZ 3 ,"4'39"" ","","","","","","","","","","","","","","","",0 0 ,0 0 ,0 0 ,0 ,0 ,0%
Chris WONDOLOWSKI 18 ,"9'10"" ","","",1 ,"",1 ,"","","","","","",1 ,1 ,"","",0 0 ,3 3 ,1 1 ,4 ,4 ,100%
Total passes received ,"","",6 ,72 ,39 ,47 ,34 ,32 ,47 ,62 ,39 ,28 ,39 ,6 ,0 ,2 ,45 64 ,271 328 ,137 161 ,453 ,553 ,82%
"","","",To,"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,Medium ,Short ,"",Total,""
From ,TP ,"",22 ,2 ,4 ,7 ,8 ,13 ,16 ,17 ,19 ,21 ,23 ,6 ,11 ,18 ,PC PA ,PC PA ,PC PA ,PC ,PA ,%
 BETO 22 ,"97'35"" ","","",11 ,3 ,"",2 ,7 ,"",1 ,1 ,1 ,"","","","",4 7 ,22 22 ,0 0 ,26 ,29 ,90%
