From ,TP ,"",22 ,2 ,3 ,4 ,6 ,7 ,8 ,11 ,17 ,20 ,21 ,1 ,10 ,18 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
 BETO 22 ,"89'26"" ","","",7 ,5 ,1 ,3 ,"","",1 ,2 ,4 ,2 ,"","","",11 21 ,"",13 14 ,1 1 ,25 ,36 ,69%
Bruno ALVES 2 ,"96'04"" ","",6 ,"",4 ,6 ,7 ,2 ,"","","",4 ,"","",2 ,2 ,4 6 ,"",26 29 ,3 7 ,33 ,42 ,79%
 PEPE 3 ,"96'04"" ","","",7 ,"",3 ,2 ,1 ,7 ,5 ,5 ,4 ,1 ,"",4 ,"",3 11 ,"",29 31 ,7 8 ,39 ,50 ,78%
Miguel VELOSO 4 ,"96'04"" ","",1 ,2 ,1 ,"",12 ,5 ,3 ,3 ,4 ,4 ,2 ,"","",2 ,8 15 ,"",22 33 ,9 14 ,39 ,62 ,63%
 WILLIAM 6 ,"96'04"" ","",2 ,4 ,4 ,8 ,"",4 ,9 ,1 ,7 ,5 ,4 ,"",1 ,4 ,8 14 ,"",35 40 ,10 12 ,53 ,66 ,80%
 CRISTIANO RONALDO 7 ,"96'04"" ","","",1 ,"",3 ,3 ,"",8 ,2 ,4 ,4 ,"","","",2 ,2 4 ,"",8 14 ,17 18 ,27 ,36 ,75%
Joao MOUTINHO 8 ,"96'04"" ","","",1 ,4 ,4 ,9 ,12 ,"",3 ,14 ,11 ,3 ,"","",3 ,2 8 ,"",42 47 ,20 22 ,64 ,77 ,83%
 EDER 11 ,"69'54"" ","","",2 ,1 ,1 ,4 ,2 ,5 ,"",1 ,"","","","","",1 1 ,"",8 12 ,7 9 ,16 ,22 ,73%
 NANI 17 ,"96'04"" ","","",2 ,1 ,5 ,5 ,7 ,12 ,"","",3 ,4 ,"",2 ,1 ,4 15 ,"",30 36 ,8 13 ,42 ,64 ,66%
Ruben AMORIM 20 ,"96'04"" ","",2 ,3 ,7 ,5 ,3 ,5 ,6 ,3 ,3 ,"","","","",2 ,4 5 ,"",26 33 ,9 15 ,39 ,53 ,74%
Joao PEREIRA 21 ,"61'37"" ","",1 ,"",4 ,"",2 ,1 ,7 ,1 ,7 ,"","","","","",2 5 ,"",16 18 ,5 7 ,23 ,30 ,77%
 EDUARDO 1 ,"6'38"" ","","","","","","","","","","","","","",1 ,"",1 2 ,"",0 0 ,0 0 ,1 ,2 ,50%
 VIEIRINHA 10 ,"26'10"" ","","","",1 ,"",1 ,1 ,"","",2 ,2 ,"","","",1 ,2 6 ,"",6 8 ,0 1 ,8 ,15 ,53%
 VARELA 18 ,"34'27"" ","","","","",3 ,2 ,1 ,2 ,"",1 ,"","","","","",1 1 ,"",5 8 ,3 4 ,9 ,13 ,69%
Total passes received ,"","",12 ,29 ,32 ,39 ,53 ,41 ,59 ,19 ,50 ,41 ,16 ,0 ,10 ,17 ,53 114 ,"",266 323 ,99 131 ,418 ,568 ,74%
"","","",To,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",Long ,"",Medium ,Short ,"",Total,""
From ,TP ,"",16 ,3 ,7 ,8 ,10 ,17 ,18 ,19 ,20 ,21 ,23 ,6 ,13 ,22 ,PC PA ,"",PC PA ,PC PA ,PC ,PA ,%
Fatawu DAUDA 16 ,"96'04"" ","","",2 ,"",1 ,2 ,"",1 ,3 ,3 ,2 ,3 ,"","","",8 21 ,"",7 9 ,2 3 ,17 ,33 ,52%
Asamoah GYAN 3 ,"96'04"" ","","","",2 ,"",2 ,"",3 ,"",1 ,"","",1 ,2 ,"",0 1 ,"",5 10 ,6 12 ,11 ,23 ,48%
Christian ATSU 7 ,"96'04"" ","","",6 ,"",2 ,"",1 ,3 ,"",2 ,"",7 ,"",3 ,"",2 5 ,"",13 28 ,9 11 ,24 ,44 ,55%
Emmanuel BADU 8 ,"96'04"" ","","",2 ,6 ,"",3 ,2 ,1 ,4 ,3 ,2 ,8 ,"","","",8 10 ,"",16 18 ,7 9 ,31 ,37 ,84%
Andre AYEW 10 ,"81'18"" ","","",5 ,1 ,4 ,"",2 ,1 ,1 ,4 ,1 ,2 ,"","","",1 3 ,"",15 17 ,5 10 ,21 ,30 ,70%
Mohammed RABIU 17 ,"76'20"" ","","",2 ,1 ,8 ,4 ,"",1 ,"",5 ,1 ,5 ,"","","",5 9 ,"",18 21 ,4 6 ,27 ,36 ,75%
Majeed WARIS 18 ,"71'41"" ","",1 ,2 ,5 ,1 ,2 ,1 ,"",2 ,"","","","","","",2 3 ,"",6 13 ,6 10 ,14 ,26 ,54%
Jonathan MENSAH 19 ,"96'04"" ","",3 ,3 ,"",6 ,2 ,2 ,1 ,"",4 ,4 ,"",3 ,"",2 ,3 3 ,"",22 26 ,5 6 ,30 ,35 ,86%
Kwadwo ASAMOAH 20 ,"96'04"" ","",1 ,7 ,1 ,2 ,8 ,5 ,4 ,6 ,"","","",1 ,"",1 ,4 6 ,"",23 33 ,9 12 ,36 ,51 ,71%
John BOYE 21 ,"96'04"" ","","",2 ,2 ,4 ,1 ,3 ,1 ,"","","",3 ,"","","",2 5 ,"",12 13 ,2 3 ,16 ,21 ,76%
Harrison AFFUL 23 ,"96'04"" ","",3 ,1 ,11 ,4 ,5 ,6 ,6 ,"",1 ,1 ,"",2 ,1 ,"",3 11 ,"",29 43 ,9 11 ,41 ,65 ,63%
Acquah AFRIYIE 6 ,"19'44"" ","","",3 ,"","","","","","","",1 ,"","",1 ,2 ,1 1 ,"",5 7 ,1 1 ,7 ,9 ,78%
Jordan AYEW 13 ,"24'23"" ","","",1 ,2 ,2 ,"","","","","","",1 ,"","","",1 1 ,"",1 4 ,4 4 ,6 ,9 ,67%
Mubarak WAKASO 22 ,"14'46"" ","","",1 ,1 ,1 ,"","","","","","","",1 ,"","",1 2 ,"",1 1 ,2 2 ,4 ,5 ,80%
Total passes received ,"","",8 ,37 ,32 ,35 ,29 ,22 ,22 ,16 ,23 ,12 ,29 ,8 ,7 ,5 ,41 81 ,"",173 243 ,71 100 ,285 ,424 ,67%
